gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000079702	ENSSSAT00000150278	2.62	2.71	4.18	1.80	0.50	1.69	1.84	0.28	0.14	0.05	5.65	0.19
ENSSSAG00000079704	ENSSSAT00000150295,ENSSSAT00000165574	0.00	0.00	0.00	0.22	0.10	0.06	0.11	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079705	ENSSSAT00000150305	1.04	0.68	0.84	0.26	0.17	0.62	0.15	0.25	0.10	0.24	0.56	0.50
ENSSSAG00000079707	ENSSSAT00000130827,ENSSSAT00000150306,ENSSSAT00000215929,ENSSSAT00000235204	6.48	2.40	13.97	21.44	2.76	17.59	0.69	36.52	38.21	59.75	2.24	38.98
ENSSSAG00000079708	ENSSSAT00000150301	1.29	3.31	1.61	1.50	1.13	2.79	2.31	0.28	0.00	0.46	5.10	0.00
ENSSSAG00000079709	ENSSSAT00000150307	0.75	1.05	1.47	0.27	1.04	1.19	0.42	0.60	0.29	0.20	0.11	0.13
ENSSSAG00000079711	ENSSSAT00000150310	0.00	0.19	0.44	0.53	0.09	0.00	0.75	0.00	0.19	0.10	0.21	0.25
ENSSSAG00000079713	ENSSSAT00000150314,ENSSSAT00000150316,ENSSSAT00000218674,ENSSSAT00000247670	27.53	21.57	32.49	22.41	16.01	30.61	8.91	49.03	42.21	42.42	29.96	41.39
ENSSSAG00000079714	ENSSSAT00000015569,ENSSSAT00000015577,ENSSSAT00000015581	0.00	0.37	0.63	0.53	0.09	0.00	3.27	0.35	0.00	0.11	0.00	0.50
ENSSSAG00000079715	ENSSSAT00000150325,ENSSSAT00000150330	3.32	2.73	9.85	8.27	1.34	13.89	2.10	17.90	8.75	22.84	2.89	26.75
ENSSSAG00000079716	ENSSSAT00000089900,ENSSSAT00000150331	1.04	2.48	0.91	1.11	0.87	0.76	0.10	0.57	0.46	0.81	0.74	0.35
ENSSSAG00000079717	ENSSSAT00000150375,ENSSSAT00000150384,ENSSSAT00000150385,ENSSSAT00000150388,ENSSSAT00000171522,ENSSSAT00000185492,ENSSSAT00000253176	8.06	7.27	15.73	11.84	11.28	12.66	8.24	18.67	16.47	17.60	8.77	19.31
ENSSSAG00000079718	ENSSSAT00000150522,ENSSSAT00000150579,ENSSSAT00000150589,ENSSSAT00000150602,ENSSSAT00000150612,ENSSSAT00000150617,ENSSSAT00000167530,ENSSSAT00000168122,ENSSSAT00000200821,ENSSSAT00000226543	1.62	2.38	1.61	3.57	3.71	0.82	9.98	1.14	0.68	0.85	2.29	1.36
ENSSSAG00000079720	ENSSSAT00000150339	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079722	ENSSSAT00000150923,ENSSSAT00000150949,ENSSSAT00000150957,ENSSSAT00000150968,ENSSSAT00000150971,ENSSSAT00000150987,ENSSSAT00000150992,ENSSSAT00000151004	44.13	48.36	52.36	34.16	38.98	50.03	21.56	43.95	49.06	54.41	48.77	50.06
ENSSSAG00000079724	ENSSSAT00000150398,ENSSSAT00000150399,ENSSSAT00000150408,ENSSSAT00000150412,ENSSSAT00000150414,ENSSSAT00000157191,ENSSSAT00000206847,ENSSSAT00000216133,ENSSSAT00000222104	5.10	9.95	4.03	44.37	14.62	5.95	81.66	1.90	2.57	2.07	8.29	2.43
ENSSSAG00000079725	ENSSSAT00000150347	47.18	54.64	49.80	47.48	41.88	43.79	55.76	46.74	49.84	43.20	45.43	37.85
ENSSSAG00000079726	ENSSSAT00000150348	0.46	0.35	0.14	0.45	1.17	0.00	0.00	0.15	0.12	0.12	0.92	0.00
ENSSSAG00000079728	ENSSSAT00000150355,ENSSSAT00000208484	18.41	29.57	16.10	3.61	32.38	22.44	2.45	2.67	5.02	4.42	14.48	5.89
ENSSSAG00000079729	ENSSSAT00000150353	11.57	15.79	3.22	0.91	32.62	3.78	3.76	0.74	0.22	0.00	9.60	0.10
ENSSSAG00000079731	ENSSSAT00000102483,ENSSSAT00000102527,ENSSSAT00000102571,ENSSSAT00000150596,ENSSSAT00000150645,ENSSSAT00000150666,ENSSSAT00000150678,ENSSSAT00000150730,ENSSSAT00000150731,ENSSSAT00000150744	0.21	0.08	0.28	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.27	0.00
ENSSSAG00000079733	ENSSSAT00000150364,ENSSSAT00000203305,ENSSSAT00000216976,ENSSSAT00000239416	37.25	32.43	32.65	27.73	36.30	40.21	31.73	24.39	27.87	30.76	27.45	29.84
ENSSSAG00000079734	ENSSSAT00000018319,ENSSSAT00000150377,ENSSSAT00000150382,ENSSSAT00000184143,ENSSSAT00000186895,ENSSSAT00000217385	0.43	0.50	0.37	0.42	0.46	0.62	0.84	0.03	0.20	0.36	0.08	0.12
ENSSSAG00000079737	ENSSSAT00000150381,ENSSSAT00000150383	51.56	52.36	44.89	37.28	41.64	50.08	25.89	57.43	51.44	50.55	50.02	54.64
ENSSSAG00000079738	ENSSSAT00000150431,ENSSSAT00000150436,ENSSSAT00000209973,ENSSSAT00000244491	35.16	12.62	71.84	52.00	10.99	81.21	1.78	110.39	80.85	77.97	19.31	86.73
ENSSSAG00000079741	ENSSSAT00000150411,ENSSSAT00000150422,ENSSSAT00000150426,ENSSSAT00000150435,ENSSSAT00000150470,ENSSSAT00000150478,ENSSSAT00000150491	38.55	44.06	41.26	17.54	52.45	36.48	1.28	40.66	37.81	27.84	38.75	41.68
ENSSSAG00000079742	ENSSSAT00000150387	0.11	0.17	0.14	0.33	0.86	0.46	0.00	0.00	0.00	0.06	0.06	0.15
ENSSSAG00000079743	ENSSSAT00000001570,ENSSSAT00000150863,ENSSSAT00000150887,ENSSSAT00000150892,ENSSSAT00000150902,ENSSSAT00000150994	66.10	56.82	52.16	41.60	68.87	76.09	9.14	91.54	93.49	102.69	60.45	78.66
ENSSSAG00000079744	ENSSSAT00000150504,ENSSSAT00000150512,ENSSSAT00000150535,ENSSSAT00000150543,ENSSSAT00000150552,ENSSSAT00000150557	13.09	12.28	17.33	11.36	14.70	15.91	6.70	10.58	11.82	15.37	10.09	12.77
ENSSSAG00000079745	ENSSSAT00000150386,ENSSSAT00000150390	1.15	1.46	0.16	3.04	5.45	0.90	1.24	0.33	2.05	0.00	0.59	1.60
ENSSSAG00000079746	ENSSSAT00000150392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079748	ENSSSAT00000150395,ENSSSAT00000156918,ENSSSAT00000191378,ENSSSAT00000204746	25.91	24.47	20.27	30.13	26.49	20.91	34.01	20.26	18.11	18.20	17.08	18.40
ENSSSAG00000079749	ENSSSAT00000150403,ENSSSAT00000150404,ENSSSAT00000250181	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079750	ENSSSAT00000150402,ENSSSAT00000150418,ENSSSAT00000150429,ENSSSAT00000150434,ENSSSAT00000150439,ENSSSAT00000150476,ENSSSAT00000150489,ENSSSAT00000209019	48.48	46.76	63.41	35.34	47.56	69.14	43.46	57.51	49.24	56.64	44.27	54.75
ENSSSAG00000079751	ENSSSAT00000150546,ENSSSAT00000150551	22.47	24.30	35.95	18.40	30.03	30.93	3.72	39.01	38.99	41.89	31.48	43.20
ENSSSAG00000079752	ENSSSAT00000151915,ENSSSAT00000151941,ENSSSAT00000151944,ENSSSAT00000151948,ENSSSAT00000151949,ENSSSAT00000151954,ENSSSAT00000151989,ENSSSAT00000151994,ENSSSAT00000152009,ENSSSAT00000152032	44.79	24.08	60.40	29.34	29.70	52.20	1.08	62.70	57.88	69.10	44.22	67.37
ENSSSAG00000079753	ENSSSAT00000150410	4.43	4.78	7.23	16.83	5.18	12.94	4.93	17.77	17.82	23.36	6.68	15.64
ENSSSAG00000079755	ENSSSAT00000152231,ENSSSAT00000152397,ENSSSAT00000152409,ENSSSAT00000152417,ENSSSAT00000152424,ENSSSAT00000152431,ENSSSAT00000152461,ENSSSAT00000152468,ENSSSAT00000152486,ENSSSAT00000152501	27.17	25.38	36.44	38.01	32.24	38.30	19.72	56.56	44.88	44.69	23.85	54.51
ENSSSAG00000079757	ENSSSAT00000152724	19.94	15.84	31.58	27.10	20.91	25.97	17.19	36.54	27.71	33.47	20.52	37.10
ENSSSAG00000079758	ENSSSAT00000151005,ENSSSAT00000151009,ENSSSAT00000151013,ENSSSAT00000151030	1.48	1.84	1.64	0.28	2.55	0.58	2.14	0.09	0.30	0.38	2.53	0.49
ENSSSAG00000079759	ENSSSAT00000154227,ENSSSAT00000154251,ENSSSAT00000154256,ENSSSAT00000154263,ENSSSAT00000154276,ENSSSAT00000154287,ENSSSAT00000154296,ENSSSAT00000154361,ENSSSAT00000154372,ENSSSAT00000154386	28.26	28.77	20.72	31.79	22.34	32.38	16.48	21.39	21.72	35.56	33.29	23.86
ENSSSAG00000079760	ENSSSAT00000150488,ENSSSAT00000213463	1.24	0.00	1.29	0.87	0.00	1.83	0.00	1.38	0.37	1.86	0.00	1.69
ENSSSAG00000079761	ENSSSAT00000081206,ENSSSAT00000081223,ENSSSAT00000083688,ENSSSAT00000150562,ENSSSAT00000150565,ENSSSAT00000150598,ENSSSAT00000150613,ENSSSAT00000150621,ENSSSAT00000150632,ENSSSAT00000150638	40.06	12.67	68.09	72.86	17.47	103.74	0.53	178.53	143.16	184.13	9.96	191.60
ENSSSAG00000079764	ENSSSAT00000150462	0.21	0.04	0.15	0.08	0.13	0.10	0.00	0.00	0.00	0.00	0.09	0.17
ENSSSAG00000079765	ENSSSAT00000147087,ENSSSAT00000150468	9.63	3.71	12.51	8.23	1.44	11.33	0.43	4.86	27.31	18.69	10.54	33.72
ENSSSAG00000079767	ENSSSAT00000150484,ENSSSAT00000150490,ENSSSAT00000166797,ENSSSAT00000177503,ENSSSAT00000204374,ENSSSAT00000210926,ENSSSAT00000214554,ENSSSAT00000226087	8.10	9.44	8.10	6.89	10.10	5.20	7.00	7.16	9.92	9.01	9.18	9.23
ENSSSAG00000079771	ENSSSAT00000150482	38.56	27.42	28.68	4.66	5.68	24.40	1.25	3.63	7.72	4.47	31.90	6.80
ENSSSAG00000079772	ENSSSAT00000150487	4.37	3.40	6.80	0.82	0.73	4.97	0.22	0.69	0.37	0.19	6.55	0.16
ENSSSAG00000079774	ENSSSAT00000150494,ENSSSAT00000150503,ENSSSAT00000186750,ENSSSAT00000251972	16.01	15.78	16.31	16.05	22.70	19.35	11.14	20.33	19.79	19.08	15.12	20.81
ENSSSAG00000079775	ENSSSAT00000150502	13.69	19.40	13.62	8.95	10.72	11.62	7.31	12.97	12.99	13.15	17.38	10.43
ENSSSAG00000079776	ENSSSAT00000150526,ENSSSAT00000150527,ENSSSAT00000150529	2.25	1.72	5.29	2.17	1.19	4.17	0.40	4.98	4.49	2.99	3.87	5.60
ENSSSAG00000079778	ENSSSAT00000150515,ENSSSAT00000150518	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079779	ENSSSAT00000141856,ENSSSAT00000141888,ENSSSAT00000153347,ENSSSAT00000153357,ENSSSAT00000153362,ENSSSAT00000153416,ENSSSAT00000153447,ENSSSAT00000153472,ENSSSAT00000153480,ENSSSAT00000153542	76.52	67.50	89.39	62.94	79.67	75.62	66.47	82.87	75.75	95.99	88.47	89.96
ENSSSAG00000079780	ENSSSAT00000129713,ENSSSAT00000129905,ENSSSAT00000129995,ENSSSAT00000130013,ENSSSAT00000130076,ENSSSAT00000150593,ENSSSAT00000150606,ENSSSAT00000150608,ENSSSAT00000150610	3.17	1.71	3.10	4.35	0.80	1.92	2.24	1.00	2.17	1.63	3.43	2.21
ENSSSAG00000079782	ENSSSAT00000067145,ENSSSAT00000150531,ENSSSAT00000150538,ENSSSAT00000150548,ENSSSAT00000158146,ENSSSAT00000188970,ENSSSAT00000244712	21.43	22.44	26.63	26.61	26.87	25.98	15.11	38.58	31.14	30.60	22.12	34.70
ENSSSAG00000079783	ENSSSAT00000150564,ENSSSAT00000150569	0.29	0.53	0.11	0.09	0.20	0.06	0.09	0.00	0.00	0.00	0.06	0.00
ENSSSAG00000079784	ENSSSAT00000150530,ENSSSAT00000150533	7.70	7.42	6.64	1.60	4.47	4.62	1.48	1.86	1.40	2.23	12.08	1.93
ENSSSAG00000079785	ENSSSAT00000150539,ENSSSAT00000166603,ENSSSAT00000199552	8.55	11.59	6.85	12.11	8.42	3.69	15.70	2.34	1.60	1.45	6.36	1.69
ENSSSAG00000079786	ENSSSAT00000150542,ENSSSAT00000150544,ENSSSAT00000160921,ENSSSAT00000241972	2.97	3.06	3.05	2.20	27.26	2.89	3.16	1.99	2.42	1.44	3.48	1.58
ENSSSAG00000079787	ENSSSAT00000150816,ENSSSAT00000150823	1.01	0.63	0.53	0.55	0.53	0.20	0.61	0.51	0.31	0.31	0.57	0.34
ENSSSAG00000079788	ENSSSAT00000150547	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079789	ENSSSAT00000150549,ENSSSAT00000150550,ENSSSAT00000161778,ENSSSAT00000165026,ENSSSAT00000184580	0.10	0.00	0.00	0.13	0.10	0.12	0.37	0.00	0.07	0.00	0.00	0.00
ENSSSAG00000079790	ENSSSAT00000150553	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079793	ENSSSAT00000150556,ENSSSAT00000229523,ENSSSAT00000235185	0.06	0.12	0.14	0.11	0.00	0.00	0.08	0.15	0.00	0.18	0.06	0.00
ENSSSAG00000079794	ENSSSAT00000150601,ENSSSAT00000150603,ENSSSAT00000150605	2.41	2.47	3.03	6.00	2.67	4.94	2.97	3.87	3.48	3.14	2.65	2.58
ENSSSAG00000079797	ENSSSAT00000150561,ENSSSAT00000233104	40.35	39.74	57.52	34.03	39.18	49.59	48.56	43.61	48.88	68.62	46.75	50.30
ENSSSAG00000079798	ENSSSAT00000150566,ENSSSAT00000150571,ENSSSAT00000150577,ENSSSAT00000150583,ENSSSAT00000158704,ENSSSAT00000176663	5.42	5.47	7.61	4.95	5.33	5.41	5.58	5.78	6.30	7.15	6.80	6.90
ENSSSAG00000079799	ENSSSAT00000150599,ENSSSAT00000150609,ENSSSAT00000150616,ENSSSAT00000150624,ENSSSAT00000150635,ENSSSAT00000150640,ENSSSAT00000216879,ENSSSAT00000234739,ENSSSAT00000248816	22.16	11.90	22.02	17.29	14.82	25.40	9.14	26.37	23.28	25.37	16.41	27.22
ENSSSAG00000079801	ENSSSAT00000152122,ENSSSAT00000152248,ENSSSAT00000152260,ENSSSAT00000152269,ENSSSAT00000152290,ENSSSAT00000152298,ENSSSAT00000152316,ENSSSAT00000152325,ENSSSAT00000152335,ENSSSAT00000152347	0.26	0.60	1.51	0.87	0.47	0.10	5.46	0.46	0.00	0.16	0.81	0.07
ENSSSAG00000079803	ENSSSAT00000150586	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079804	ENSSSAT00000150590,ENSSSAT00000150591	0.80	0.09	0.40	0.09	0.25	0.31	0.09	0.00	0.00	0.04	0.56	0.00
ENSSSAG00000079805	ENSSSAT00000061554,ENSSSAT00000150647,ENSSSAT00000150669,ENSSSAT00000164083,ENSSSAT00000197173	43.60	70.90	44.47	61.27	79.01	48.73	54.62	109.67	108.67	98.71	33.08	100.40
ENSSSAG00000079807	ENSSSAT00000150604,ENSSSAT00000181287	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00
ENSSSAG00000079808	ENSSSAT00000106381,ENSSSAT00000106386,ENSSSAT00000106392,ENSSSAT00000151565,ENSSSAT00000151578,ENSSSAT00000151593,ENSSSAT00000151614,ENSSSAT00000151617,ENSSSAT00000151623	19.09	20.89	27.19	21.94	23.72	21.13	13.84	33.07	30.36	28.77	19.21	31.05
ENSSSAG00000079809	ENSSSAT00000150622,ENSSSAT00000150633,ENSSSAT00000150637,ENSSSAT00000150642	11.75	9.04	16.34	9.63	12.67	16.53	7.75	17.11	15.15	16.51	15.16	15.46
ENSSSAG00000079810	ENSSSAT00000150761,ENSSSAT00000150792,ENSSSAT00000151265,ENSSSAT00000151281,ENSSSAT00000151296,ENSSSAT00000151304,ENSSSAT00000151312,ENSSSAT00000151349,ENSSSAT00000214224	35.07	36.70	38.13	26.14	53.48	35.25	9.14	41.41	40.74	40.39	31.17	41.36
ENSSSAG00000079811	ENSSSAT00000150620,ENSSSAT00000150623,ENSSSAT00000150626,ENSSSAT00000150628	14.72	12.67	16.40	11.38	10.78	11.32	12.23	15.64	16.24	14.02	18.42	16.12
ENSSSAG00000079812	ENSSSAT00000120790,ENSSSAT00000120829,ENSSSAT00000151404,ENSSSAT00000151411,ENSSSAT00000151425,ENSSSAT00000151432,ENSSSAT00000151438,ENSSSAT00000151443,ENSSSAT00000151451,ENSSSAT00000151455	7.50	8.97	10.88	19.07	12.37	11.09	17.53	3.72	3.48	4.68	10.39	3.99
ENSSSAG00000079816	ENSSSAT00000150671,ENSSSAT00000150767,ENSSSAT00000150779,ENSSSAT00000150802,ENSSSAT00000150806,ENSSSAT00000150812,ENSSSAT00000150836,ENSSSAT00000150844,ENSSSAT00000150875,ENSSSAT00000203805	27.55	23.72	45.52	17.39	22.86	34.61	8.51	30.64	24.60	26.17	22.43	28.66
ENSSSAG00000079817	ENSSSAT00000150687,ENSSSAT00000150708	9.96	11.58	14.47	10.57	12.65	13.36	3.78	20.54	19.53	15.05	14.23	16.69
ENSSSAG00000079819	ENSSSAT00000150665,ENSSSAT00000247340	4.63	6.44	6.73	9.70	6.52	5.64	12.37	9.04	7.15	9.84	4.31	7.65
ENSSSAG00000079820	ENSSSAT00000150662,ENSSSAT00000150663	410.11	504.64	537.47	665.21	633.60	382.32	997.60	330.95	391.31	388.67	459.64	317.75
ENSSSAG00000079821	ENSSSAT00000150683,ENSSSAT00000180994,ENSSSAT00000233620,ENSSSAT00000236288	36.88	36.02	44.19	43.75	28.08	39.79	41.06	43.18	43.72	38.26	38.23	36.81
ENSSSAG00000079822	ENSSSAT00000150670	0.06	0.43	0.22	0.06	0.30	0.00	0.54	0.00	0.06	0.00	0.20	0.00
ENSSSAG00000079823	ENSSSAT00000150677	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079825	ENSSSAT00000150695,ENSSSAT00000150700,ENSSSAT00000185938,ENSSSAT00000221563	369.47	417.88	307.72	436.35	573.11	292.77	516.75	243.42	214.68	231.26	411.46	194.75
ENSSSAG00000079826	ENSSSAT00000150681,ENSSSAT00000171707	5.41	27.66	2.52	1.00	28.54	2.33	0.26	0.44	0.18	0.00	3.65	0.00
ENSSSAG00000079828	ENSSSAT00000060900,ENSSSAT00000150696,ENSSSAT00000150707,ENSSSAT00000150710,ENSSSAT00000188615,ENSSSAT00000203913	2.09	9.76	3.53	2.70	15.14	1.94	3.70	0.88	2.22	0.90	1.64	1.17
ENSSSAG00000079830	ENSSSAT00000150689	4.23	1.58	2.37	2.01	2.62	3.35	2.53	1.58	2.35	3.03	3.29	3.24
ENSSSAG00000079832	ENSSSAT00000150698,ENSSSAT00000158634	2.75	2.77	1.35	0.21	0.98	0.94	0.09	0.00	0.00	0.03	2.57	0.09
ENSSSAG00000079833	ENSSSAT00000150706	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	1.40	0.00
ENSSSAG00000079835	ENSSSAT00000150711	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079836	ENSSSAT00000150713	0.76	0.90	1.10	1.22	1.31	0.58	0.96	0.64	0.56	0.66	1.42	0.23
ENSSSAG00000079838	ENSSSAT00000151519,ENSSSAT00000151585,ENSSSAT00000152050,ENSSSAT00000152164,ENSSSAT00000152181,ENSSSAT00000152189,ENSSSAT00000152195,ENSSSAT00000152197,ENSSSAT00000152201	30.40	30.02	40.87	30.18	40.23	32.80	19.73	46.99	45.94	51.49	31.08	46.01
ENSSSAG00000079839	ENSSSAT00000150725,ENSSSAT00000150729	0.00	0.23	0.28	0.09	0.00	0.00	0.09	0.00	0.36	0.12	0.13	0.00
ENSSSAG00000079840	ENSSSAT00000150716,ENSSSAT00000169490,ENSSSAT00000172314	9.02	9.96	15.48	10.85	15.16	12.68	10.85	20.80	16.44	15.06	15.43	11.93
ENSSSAG00000079841	ENSSSAT00000123582,ENSSSAT00000150722,ENSSSAT00000150724,ENSSSAT00000171761,ENSSSAT00000174359,ENSSSAT00000199346,ENSSSAT00000207533,ENSSSAT00000254768	0.54	0.75	0.39	1.07	2.25	0.49	34.21	0.00	0.00	0.11	1.02	0.00
ENSSSAG00000079842	ENSSSAT00000150747,ENSSSAT00000238256	0.25	0.00	0.05	0.08	0.06	0.10	0.00	0.00	0.00	0.04	0.00	0.00
ENSSSAG00000079843	ENSSSAT00000150749,ENSSSAT00000150752,ENSSSAT00000157942,ENSSSAT00000159600,ENSSSAT00000170052,ENSSSAT00000173269,ENSSSAT00000191266,ENSSSAT00000209125,ENSSSAT00000217785,ENSSSAT00000246798	11.81	12.71	13.56	12.02	14.60	11.25	15.23	11.92	12.91	8.72	15.02	12.64
ENSSSAG00000079844	ENSSSAT00000151396,ENSSSAT00000151407,ENSSSAT00000151415,ENSSSAT00000151423,ENSSSAT00000151452,ENSSSAT00000151466,ENSSSAT00000151479,ENSSSAT00000151482	5.53	3.26	5.46	0.54	6.47	5.27	0.22	0.40	0.15	1.17	6.37	1.93
ENSSSAG00000079845	ENSSSAT00000150732	5.92	5.04	2.62	5.81	3.60	3.28	11.65	1.65	2.09	1.61	5.32	2.21
ENSSSAG00000079847	ENSSSAT00000142449,ENSSSAT00000150745,ENSSSAT00000150773	0.91	0.65	1.36	6.83	2.05	0.53	9.93	0.25	0.00	0.60	2.10	0.11
ENSSSAG00000079848	ENSSSAT00000150757,ENSSSAT00000150765,ENSSSAT00000150859,ENSSSAT00000150873,ENSSSAT00000150879,ENSSSAT00000150886,ENSSSAT00000150890,ENSSSAT00000150908,ENSSSAT00000150912,ENSSSAT00000195519	31.31	26.30	30.46	25.44	25.98	35.96	14.78	49.93	45.57	39.88	26.37	38.45
ENSSSAG00000079850	ENSSSAT00000150796,ENSSSAT00000150810,ENSSSAT00000150815,ENSSSAT00000183492	5.28	5.83	4.89	5.10	7.45	5.18	5.96	7.23	5.67	5.88	5.68	5.94
ENSSSAG00000079851	ENSSSAT00000151514,ENSSSAT00000151530,ENSSSAT00000151537,ENSSSAT00000151541,ENSSSAT00000151608,ENSSSAT00000151630,ENSSSAT00000151642,ENSSSAT00000151654,ENSSSAT00000151667,ENSSSAT00000160831	1.82	1.48	1.29	5.02	2.77	0.47	5.74	0.59	0.69	1.20	1.10	1.40
ENSSSAG00000079852	ENSSSAT00000150850,ENSSSAT00000150855,ENSSSAT00000150869,ENSSSAT00000161168,ENSSSAT00000244198,ENSSSAT00000248625	5.39	13.29	5.04	3.01	8.54	4.04	0.24	3.95	4.73	7.49	4.13	4.38
ENSSSAG00000079853	ENSSSAT00000150748	0.54	1.37	1.61	39.96	3.72	0.62	14.68	1.83	1.85	7.49	0.20	6.23
ENSSSAG00000079856	ENSSSAT00000102665,ENSSSAT00000150753,ENSSSAT00000166220,ENSSSAT00000185418	1.08	13.90	1.11	145.75	18.99	1.15	162.78	1.27	0.55	0.08	1.51	0.09
ENSSSAG00000079857	ENSSSAT00000150769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079858	ENSSSAT00000056421,ENSSSAT00000057280,ENSSSAT00000072164,ENSSSAT00000151413,ENSSSAT00000151442,ENSSSAT00000151462,ENSSSAT00000151465,ENSSSAT00000151474	10.49	2.39	3.92	9.01	1.75	5.19	18.61	5.04	6.81	6.05	5.75	7.06
ENSSSAG00000079859	ENSSSAT00000150760	25.58	28.65	15.16	6.86	22.71	16.45	2.24	10.54	10.29	10.00	18.50	10.70
ENSSSAG00000079860	ENSSSAT00000150766	6.11	3.38	6.49	6.34	3.24	9.05	2.12	9.67	7.99	8.24	4.22	7.07
ENSSSAG00000079863	ENSSSAT00000091296,ENSSSAT00000150776,ENSSSAT00000150784,ENSSSAT00000157797,ENSSSAT00000164115,ENSSSAT00000218027,ENSSSAT00000246660	34.06	29.57	46.74	35.96	40.24	51.75	30.13	48.19	36.80	40.72	43.86	38.53
ENSSSAG00000079870	ENSSSAT00000150800,ENSSSAT00000150804,ENSSSAT00000170978,ENSSSAT00000179412	5.20	5.45	2.88	1.09	5.33	2.22	3.38	0.90	2.04	1.86	0.60	1.68
ENSSSAG00000079871	ENSSSAT00000151018,ENSSSAT00000151022,ENSSSAT00000166795	1.61	1.62	1.26	1.26	1.66	1.49	2.37	0.66	1.16	0.87	1.74	0.67
ENSSSAG00000079872	ENSSSAT00000150811	11.01	9.65	9.84	8.66	8.39	10.41	10.29	9.06	10.75	9.73	8.74	9.42
ENSSSAG00000079873	ENSSSAT00000150817	4.83	4.29	3.73	4.42	4.41	3.99	6.50	3.13	2.78	3.16	3.62	2.79
ENSSSAG00000079874	ENSSSAT00000150819,ENSSSAT00000169973,ENSSSAT00000176330,ENSSSAT00000235953	34.53	41.94	31.03	75.91	60.70	26.38	202.99	16.53	18.00	20.83	53.41	24.77
ENSSSAG00000079875	ENSSSAT00000150820	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079876	ENSSSAT00000150919,ENSSSAT00000150926,ENSSSAT00000150941,ENSSSAT00000193096,ENSSSAT00000193356,ENSSSAT00000202298,ENSSSAT00000216892,ENSSSAT00000243665	6.40	4.91	3.81	1.34	5.67	2.76	2.22	0.40	0.87	0.38	1.92	0.23
ENSSSAG00000079877	ENSSSAT00000150824	37.25	29.08	30.17	21.39	47.99	30.72	10.84	72.49	50.18	34.08	41.30	49.53
ENSSSAG00000079879	ENSSSAT00000150944,ENSSSAT00000150950,ENSSSAT00000150975,ENSSSAT00000150988,ENSSSAT00000150997	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079880	ENSSSAT00000150829,ENSSSAT00000150831	8.83	8.00	10.58	4.90	9.23	7.60	4.01	11.73	20.32	8.26	7.65	13.73
ENSSSAG00000079881	ENSSSAT00000150857,ENSSSAT00000150860,ENSSSAT00000150864	13.03	11.35	12.27	9.51	11.23	12.35	6.57	15.17	15.94	13.42	9.59	11.94
ENSSSAG00000079883	ENSSSAT00000150834	0.00	0.09	0.00	0.09	0.05	0.00	0.03	0.12	0.00	0.05	0.00	0.00
ENSSSAG00000079885	ENSSSAT00000150837	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000079886	ENSSSAT00000150838,ENSSSAT00000187632,ENSSSAT00000201730,ENSSSAT00000207759	0.83	2.50	0.75	1.08	6.46	0.88	4.98	0.13	0.00	0.65	0.71	0.58
