gene_id	transcript_id(s)	AtlanticSalmon_RNA_Brain_Immature_Female_R1	AtlanticSalmon_RNA_Brain_Immature_Female_R2	AtlanticSalmon_RNA_Brain_Immature_Female_R3	AtlanticSalmon_RNA_Brain_Immature_Male_R1	AtlanticSalmon_RNA_Brain_Immature_Male_R2	AtlanticSalmon_RNA_Brain_Immature_Male_R3	AtlanticSalmon_RNA_Brain_Mature_Female_R1	AtlanticSalmon_RNA_Brain_Mature_Female_R2	AtlanticSalmon_RNA_Brain_Mature_Female_R3	AtlanticSalmon_RNA_Brain_Mature_Male_R1	AtlanticSalmon_RNA_Brain_Mature_Male_R2	AtlanticSalmon_RNA_Brain_Mature_Male_R3
ENSSSAG00000104127	ENSSSAT00000167082,ENSSSAT00000254307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104128	ENSSSAT00000174393,ENSSSAT00000189180,ENSSSAT00000223494	0.52	0.92	0.22	0.05	0.42	0.17	0.00	0.00	0.00	0.00	0.31	0.00
ENSSSAG00000104129	ENSSSAT00000247304	5.72	5.15	5.89	1.59	5.54	4.68	0.80	2.56	2.90	2.84	11.32	1.98
ENSSSAG00000104130	ENSSSAT00000206142	2.36	2.95	1.67	0.57	3.18	1.57	0.37	0.28	0.11	0.19	2.58	0.30
ENSSSAG00000104131	ENSSSAT00000161187,ENSSSAT00000175606,ENSSSAT00000192885,ENSSSAT00000197561,ENSSSAT00000198146,ENSSSAT00000209058,ENSSSAT00000223211,ENSSSAT00000234793,ENSSSAT00000235342,ENSSSAT00000237595	0.00	0.31	0.00	0.94	0.00	0.00	0.96	1.28	1.32	0.96	1.65	0.00
ENSSSAG00000104132	ENSSSAT00000183145	0.37	0.16	0.19	0.41	0.00	0.55	0.00	2.86	1.13	0.60	0.00	2.65
ENSSSAG00000104133	ENSSSAT00000183722	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104134	ENSSSAT00000153333	0.75	0.26	0.30	0.86	0.64	0.15	0.56	0.00	0.13	0.26	0.14	0.17
ENSSSAG00000104135	ENSSSAT00000174801	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104136	ENSSSAT00000197768,ENSSSAT00000212863,ENSSSAT00000217947,ENSSSAT00000237809	2.01	0.66	1.39	1.47	0.60	1.86	4.99	0.00	0.27	0.10	0.33	0.27
ENSSSAG00000104137	ENSSSAT00000180738	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104138	ENSSSAT00000226248	5.71	5.58	5.29	3.09	4.19	5.30	3.33	2.47	4.09	4.46	7.76	3.84
ENSSSAG00000104139	ENSSSAT00000179966,ENSSSAT00000223403	0.45	0.45	0.35	0.03	0.48	0.20	0.75	0.17	0.26	0.33	0.54	0.48
ENSSSAG00000104140	ENSSSAT00000199053,ENSSSAT00000233864	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104141	ENSSSAT00000213593	5.94	3.80	4.98	8.52	3.58	7.93	6.59	13.90	11.57	12.03	7.45	7.15
ENSSSAG00000104142	ENSSSAT00000185091	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104143	ENSSSAT00000249200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104144	ENSSSAT00000161719,ENSSSAT00000178521,ENSSSAT00000225120,ENSSSAT00000228042	9.14	6.32	9.96	2.18	5.75	5.88	0.95	3.50	2.30	3.76	10.71	3.13
ENSSSAG00000104145	ENSSSAT00000241556	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104146	ENSSSAT00000251215	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104147	ENSSSAT00000158861	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104148	ENSSSAT00000158114,ENSSSAT00000161032,ENSSSAT00000196048	7.67	4.68	6.88	4.06	5.99	6.03	3.93	9.65	3.62	2.67	3.29	4.25
ENSSSAG00000104149	ENSSSAT00000204958,ENSSSAT00000253560	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104150	ENSSSAT00000187367	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104151	ENSSSAT00000178374	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104152	ENSSSAT00000231758	10.11	7.09	9.88	6.84	7.85	11.50	2.05	11.37	11.96	10.78	9.36	12.02
ENSSSAG00000104153	ENSSSAT00000188556,ENSSSAT00000196797,ENSSSAT00000248231,ENSSSAT00000250175	4.38	2.96	3.19	2.84	3.22	3.83	3.25	3.34	2.46	3.04	3.03	3.82
ENSSSAG00000104154	ENSSSAT00000176251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104155	ENSSSAT00000004520,ENSSSAT00000184459	15.36	11.04	13.77	3.31	20.00	18.29	0.44	16.97	17.01	14.13	14.10	18.58
ENSSSAG00000104156	ENSSSAT00000184482,ENSSSAT00000232419	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104157	ENSSSAT00000173502	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104158	ENSSSAT00000210913	0.00	0.02	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104159	ENSSSAT00000177465	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104160	ENSSSAT00000158969,ENSSSAT00000159706,ENSSSAT00000173074,ENSSSAT00000176880,ENSSSAT00000189558,ENSSSAT00000191262,ENSSSAT00000213838,ENSSSAT00000221646,ENSSSAT00000252978	0.71	0.52	0.49	0.40	0.42	0.00	0.39	0.00	0.00	0.00	0.61	0.00
ENSSSAG00000104161	ENSSSAT00000189819	0.04	0.00	0.05	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104162	ENSSSAT00000208328	4.66	8.17	1.97	3.16	9.09	6.73	0.00	1.12	1.21	9.59	3.21	5.76
ENSSSAG00000104163	ENSSSAT00000202660,ENSSSAT00000213730,ENSSSAT00000214570	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000104164	ENSSSAT00000182337	0.26	0.37	0.35	1.76	0.32	0.13	1.38	0.29	0.26	0.16	0.26	0.13
ENSSSAG00000104165	ENSSSAT00000229276,ENSSSAT00000252988	12.08	10.42	15.06	10.36	13.90	14.80	0.87	24.08	19.78	21.03	11.79	22.71
