gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000107989	ENSSSAT00000124705,ENSSSAT00000138969,ENSSSAT00000138974,ENSSSAT00000138998,ENSSSAT00000189609,ENSSSAT00000215360,ENSSSAT00000243975	26.43	23.84	21.65	25.99	27.53	20.24	22.76	23.55	25.27	30.61	18.07	29.60
ENSSSAG00000107990	ENSSSAT00000157047,ENSSSAT00000164690,ENSSSAT00000179992	8.94	9.46	31.53	23.45	10.74	35.27	60.97	23.88	36.39	19.73	49.42	23.52
ENSSSAG00000107991	ENSSSAT00000096236	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107992	ENSSSAT00000211375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107993	ENSSSAT00000171338	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
ENSSSAG00000107994	ENSSSAT00000252215	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107995	ENSSSAT00000196755,ENSSSAT00000229669	0.00	0.03	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107996	ENSSSAT00000227799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107997	ENSSSAT00000215359	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107998	ENSSSAT00000161278	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000107999	ENSSSAT00000161422	0.07	0.00	0.00	0.00	0.08	0.03	0.05	0.03	0.00	0.20	0.05	0.24
ENSSSAG00000108000	ENSSSAT00000227718	0.00	0.40	0.12	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
ENSSSAG00000108001	ENSSSAT00000187903	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108002	ENSSSAT00000198052	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108003	ENSSSAT00000247477	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108004	ENSSSAT00000207909	0.25	0.09	0.00	0.00	0.10	0.10	0.31	0.00	0.44	0.00	0.39	0.39
ENSSSAG00000108005	ENSSSAT00000246788	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
ENSSSAG00000108006	ENSSSAT00000170665,ENSSSAT00000188593	0.00	0.02	0.00	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00	0.02
ENSSSAG00000108007	ENSSSAT00000168555,ENSSSAT00000169094,ENSSSAT00000174560,ENSSSAT00000175072,ENSSSAT00000194605,ENSSSAT00000202119,ENSSSAT00000218457,ENSSSAT00000244407	3.70	2.76	2.67	1.47	3.55	2.97	2.05	6.03	2.02	4.60	1.46	2.73
ENSSSAG00000108008	ENSSSAT00000174313,ENSSSAT00000179198,ENSSSAT00000191779,ENSSSAT00000193871,ENSSSAT00000248278	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108009	ENSSSAT00000080022,ENSSSAT00000080029,ENSSSAT00000179463,ENSSSAT00000185669,ENSSSAT00000197838,ENSSSAT00000206992,ENSSSAT00000211636,ENSSSAT00000248342,ENSSSAT00000249016	0.00	0.03	0.03	0.02	0.00	0.00	0.02	0.02	0.11	0.00	0.00	0.00
ENSSSAG00000108010	ENSSSAT00000227746	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108011	ENSSSAT00000097888,ENSSSAT00000157353,ENSSSAT00000184664,ENSSSAT00000205712	0.00	0.00	0.00	0.06	0.00	0.00	0.13	0.00	0.00	0.08	0.00	0.00
ENSSSAG00000108012	ENSSSAT00000205419	0.00	0.08	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.17	0.23	0.09
ENSSSAG00000108013	ENSSSAT00000163485,ENSSSAT00000191998	0.69	0.31	0.45	0.44	0.39	0.73	0.62	0.35	0.17	0.37	0.16	0.11
ENSSSAG00000108014	ENSSSAT00000099252	0.05	0.00	0.00	0.00	0.56	0.11	0.18	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108015	ENSSSAT00000250853	2.60	0.17	1.69	1.15	2.33	1.17	0.95	0.69	0.53	1.77	1.48	2.89
ENSSSAG00000108016	ENSSSAT00000014563,ENSSSAT00000014636,ENSSSAT00000159711,ENSSSAT00000165521,ENSSSAT00000208269,ENSSSAT00000237643	9.52	10.79	4.26	3.36	10.29	7.34	6.73	7.90	11.29	10.16	4.08	10.58
ENSSSAG00000108017	ENSSSAT00000234639	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108018	ENSSSAT00000024650,ENSSSAT00000159617,ENSSSAT00000160776	0.00	0.17	0.09	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108019	ENSSSAT00000217800	0.00	0.14	0.00	0.13	0.00	0.14	0.12	0.00	0.00	0.00	0.00	0.16
ENSSSAG00000108020	ENSSSAT00000235655	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000108021	ENSSSAT00000205171	0.00	0.10	0.00	0.03	0.04	0.00	0.00	0.03	0.08	0.00	0.05	0.00
ENSSSAG00000108022	ENSSSAT00000157375	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.15	0.25	0.00	0.00	0.00
ENSSSAG00000108023	ENSSSAT00000245706	0.07	0.15	0.06	0.06	3.00	0.00	0.05	0.31	0.00	0.30	0.00	0.15
ENSSSAG00000108024	ENSSSAT00000160698	0.00	0.00	0.00	0.00	0.00	0.12	0.73	0.12	0.00	0.00	0.00	0.61
ENSSSAG00000108025	ENSSSAT00000183327	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
