gene_id	transcript_id(s)	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Immature_Male_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Female_R3	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R1	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R2	AtlanticSalmon_RNA_HeadKidney_Mature_Male_R3
ENSSSAG00000093249	ENSSSAT00000185502	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093250	ENSSSAT00000214963	2.94	5.57	5.30	5.38	7.30	4.87	10.57	6.03	14.94	11.51	8.60	10.58
ENSSSAG00000093251	ENSSSAT00000233238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093252	ENSSSAT00000160243	0.23	0.23	0.00	0.40	0.77	0.22	0.00	0.72	0.00	0.28	0.00	0.26
ENSSSAG00000093253	ENSSSAT00000165956,ENSSSAT00000171445,ENSSSAT00000175173,ENSSSAT00000180546,ENSSSAT00000210948,ENSSSAT00000226086,ENSSSAT00000234670,ENSSSAT00000236177,ENSSSAT00000243481,ENSSSAT00000251107	5.85	5.25	2.58	2.39	5.47	4.04	3.38	4.03	5.61	5.10	2.47	6.84
ENSSSAG00000093254	ENSSSAT00000176179,ENSSSAT00000241173,ENSSSAT00000254746	5.15	4.66	4.57	4.33	4.42	2.76	3.92	4.41	4.82	4.61	3.06	4.90
ENSSSAG00000093255	ENSSSAT00000197947,ENSSSAT00000200903	2.23	2.50	1.40	0.88	2.97	1.91	2.53	2.32	3.67	2.75	1.79	2.46
ENSSSAG00000093256	ENSSSAT00000244810	4.14	3.71	5.19	10.05	6.58	15.62	5.78	4.60	2.54	6.25	14.94	3.09
ENSSSAG00000093257	ENSSSAT00000192066,ENSSSAT00000231746	0.89	0.70	0.89	0.41	0.51	0.79	0.55	0.20	0.74	1.13	0.79	0.53
ENSSSAG00000093258	ENSSSAT00000022403,ENSSSAT00000194437	0.00	0.09	0.12	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
ENSSSAG00000093259	ENSSSAT00000159733	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093260	ENSSSAT00000160882	2.64	1.83	1.82	3.60	3.04	2.66	2.47	2.53	2.58	2.66	3.48	2.43
ENSSSAG00000093261	ENSSSAT00000025514,ENSSSAT00000167287,ENSSSAT00000190495,ENSSSAT00000252925	0.06	0.11	0.17	0.00	0.21	0.04	0.02	0.00	0.05	0.00	0.00	0.00
ENSSSAG00000093262	ENSSSAT00000173666,ENSSSAT00000180744,ENSSSAT00000218046,ENSSSAT00000221754,ENSSSAT00000244996	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093263	ENSSSAT00000248994	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.82
ENSSSAG00000093264	ENSSSAT00000230592	11.67	10.74	6.23	5.99	8.46	5.27	5.24	5.65	4.42	6.34	3.75	7.81
ENSSSAG00000093265	ENSSSAT00000222568,ENSSSAT00000240282	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093266	ENSSSAT00000239733	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093267	ENSSSAT00000251084	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.09	0.00	0.00	0.00
ENSSSAG00000093268	ENSSSAT00000241633	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093269	ENSSSAT00000178896,ENSSSAT00000222557,ENSSSAT00000246696	0.06	0.03	0.03	0.01	0.09	0.06	0.08	0.06	0.07	0.07	0.01	0.19
ENSSSAG00000093270	ENSSSAT00000196591	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093271	ENSSSAT00000246947	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093272	ENSSSAT00000214520	0.00	0.03	0.00	0.00	0.05	0.00	0.04	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093273	ENSSSAT00000170108,ENSSSAT00000201753,ENSSSAT00000222654	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093274	ENSSSAT00000190880	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093275	ENSSSAT00000200992	0.35	0.34	0.22	0.10	0.10	0.19	0.13	0.21	0.14	0.20	0.10	0.22
ENSSSAG00000093276	ENSSSAT00000253730	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.42	0.00	0.00
ENSSSAG00000093277	ENSSSAT00000083390,ENSSSAT00000083414,ENSSSAT00000083428,ENSSSAT00000083437,ENSSSAT00000083462,ENSSSAT00000101784,ENSSSAT00000101896,ENSSSAT00000102027,ENSSSAT00000102039,ENSSSAT00000102059	6.85	19.05	19.36	13.12	19.75	17.79	23.74	16.36	32.15	17.91	14.73	20.38
ENSSSAG00000093278	ENSSSAT00000161227	1.40	1.84	0.60	0.07	0.46	0.83	1.06	0.17	1.57	0.39	0.25	0.29
ENSSSAG00000093279	ENSSSAT00000202618	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093280	ENSSSAT00000249470,ENSSSAT00000250564	0.14	0.14	0.16	0.07	0.02	0.11	0.09	0.11	0.00	0.12	0.08	0.09
ENSSSAG00000093281	ENSSSAT00000174915,ENSSSAT00000180270	0.31	0.00	0.19	0.25	0.55	0.41	0.36	0.04	0.59	0.24	0.34	0.10
ENSSSAG00000093282	ENSSSAT00000162026,ENSSSAT00000167480,ENSSSAT00000180098,ENSSSAT00000214436,ENSSSAT00000223463,ENSSSAT00000226496,ENSSSAT00000237771	0.13	0.08	0.10	0.08	0.32	0.28	0.23	0.25	0.19	0.27	0.08	0.30
ENSSSAG00000093283	ENSSSAT00000228582	3.04	1.70	2.11	1.14	2.86	2.09	2.71	2.62	2.59	4.60	1.14	3.25
ENSSSAG00000093284	ENSSSAT00000203929	0.59	0.39	0.66	0.28	0.74	0.67	0.71	0.82	0.70	0.60	0.48	0.56
ENSSSAG00000093285	ENSSSAT00000220717	0.00	0.00	0.00	0.00	0.00	0.07	0.03	0.00	0.00	0.00	0.00	0.04
ENSSSAG00000093286	ENSSSAT00000216429	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093287	ENSSSAT00000143284	0.13	0.03	0.03	0.00	0.33	0.07	0.05	0.02	0.32	0.09	0.07	0.33
ENSSSAG00000093288	ENSSSAT00000010244,ENSSSAT00000066463,ENSSSAT00000166031,ENSSSAT00000227781	5.08	6.53	6.28	4.60	6.46	4.27	7.05	7.92	5.16	6.97	4.01	6.74
ENSSSAG00000093289	ENSSSAT00000228858	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00
ENSSSAG00000093290	ENSSSAT00000178637,ENSSSAT00000208184,ENSSSAT00000215787	1.25	1.26	1.33	0.35	1.19	0.65	0.60	1.13	0.97	0.77	0.69	0.65
ENSSSAG00000093291	ENSSSAT00000162888,ENSSSAT00000226878,ENSSSAT00000242789	0.03	0.23	0.02	0.23	0.49	0.00	0.29	0.11	0.10	0.10	0.15	0.10
ENSSSAG00000093292	ENSSSAT00000219252	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093293	ENSSSAT00000005308,ENSSSAT00000169623,ENSSSAT00000170793,ENSSSAT00000178994,ENSSSAT00000215248,ENSSSAT00000236205	0.19	0.56	0.10	0.04	0.23	0.39	0.32	0.63	0.43	0.73	0.15	0.15
ENSSSAG00000093294	ENSSSAT00000183684,ENSSSAT00000192891,ENSSSAT00000252166	111.44	54.86	31.02	83.60	92.32	16.16	24.13	26.78	0.00	155.70	21.64	97.07
ENSSSAG00000093295	ENSSSAT00000199189	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42
ENSSSAG00000093296	ENSSSAT00000177249,ENSSSAT00000183372,ENSSSAT00000208923,ENSSSAT00000237217,ENSSSAT00000240928,ENSSSAT00000243235,ENSSSAT00000250694,ENSSSAT00000254316	0.00	0.02	0.00	0.00	0.04	0.00	0.01	0.03	0.03	0.04	0.00	0.03
ENSSSAG00000093297	ENSSSAT00000204926	1.89	1.36	1.92	1.42	2.01	2.19	2.25	1.86	1.37	2.64	1.31	2.11
ENSSSAG00000093298	ENSSSAT00000209648	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093299	ENSSSAT00000160031,ENSSSAT00000187733,ENSSSAT00000225577,ENSSSAT00000239667,ENSSSAT00000253162	0.06	0.01	0.03	0.00	0.00	0.01	0.05	0.00	0.01	0.02	0.02	0.01
ENSSSAG00000093300	ENSSSAT00000168683,ENSSSAT00000173981,ENSSSAT00000234485,ENSSSAT00000240215,ENSSSAT00000250636	0.40	0.69	0.00	0.05	0.14	0.06	0.09	0.00	0.29	0.00	0.00	0.21
ENSSSAG00000093301	ENSSSAT00000193066	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093302	ENSSSAT00000234978	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093303	ENSSSAT00000245648	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093304	ENSSSAT00000242499	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093305	ENSSSAT00000166452	0.34	0.34	0.00	0.00	0.18	0.00	0.26	0.00	0.20	0.20	0.00	0.00
ENSSSAG00000093306	ENSSSAT00000179496	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093307	ENSSSAT00000170938	2.26	1.45	1.51	2.16	1.98	2.55	1.38	1.13	1.07	3.51	2.04	1.61
ENSSSAG00000093308	ENSSSAT00000205451	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.06	0.00
ENSSSAG00000093309	ENSSSAT00000160111,ENSSSAT00000194643,ENSSSAT00000215730,ENSSSAT00000217953	16.33	13.49	20.46	19.50	17.91	21.89	15.59	16.35	18.16	17.33	24.40	19.85
ENSSSAG00000093310	ENSSSAT00000251335	0.27	0.03	0.02	0.00	0.03	0.05	0.02	0.10	0.00	0.03	0.08	0.00
ENSSSAG00000093311	ENSSSAT00000167488,ENSSSAT00000212505,ENSSSAT00000233114	0.00	0.04	0.24	0.00	0.00	0.00	0.00	0.04	0.00	0.29	0.00	0.08
ENSSSAG00000093312	ENSSSAT00000184511,ENSSSAT00000236329	1.90	1.72	1.32	1.39	1.98	1.79	1.92	1.82	1.73	2.44	1.66	1.74
ENSSSAG00000093313	ENSSSAT00000241795	54.28	45.41	45.30	30.01	35.42	24.27	32.47	36.27	30.23	38.99	35.01	35.45
ENSSSAG00000093314	ENSSSAT00000238305	0.18	0.00	0.16	0.00	0.10	0.69	0.07	0.00	0.00	0.00	0.26	0.10
ENSSSAG00000093315	ENSSSAT00000190307,ENSSSAT00000232367	0.14	0.07	0.00	0.00	0.32	0.00	0.10	0.03	0.11	0.07	0.02	0.00
ENSSSAG00000093316	ENSSSAT00000217143	0.57	1.30	0.14	1.08	0.68	1.62	2.03	2.06	2.56	0.81	0.35	0.81
ENSSSAG00000093317	ENSSSAT00000184611	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093318	ENSSSAT00000249082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093319	ENSSSAT00000164954	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093320	ENSSSAT00000240552	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093321	ENSSSAT00000102467,ENSSSAT00000102522,ENSSSAT00000102569,ENSSSAT00000196008,ENSSSAT00000197618,ENSSSAT00000217060,ENSSSAT00000223466	3.74	2.71	1.38	1.80	3.04	1.94	2.12	1.58	2.54	2.81	1.11	2.96
ENSSSAG00000093322	ENSSSAT00000166085,ENSSSAT00000177978	0.42	0.79	0.26	0.43	0.58	0.50	0.34	0.39	0.61	0.54	0.41	0.34
ENSSSAG00000093323	ENSSSAT00000172373,ENSSSAT00000193054	0.06	0.00	0.02	0.00	0.02	0.02	0.02	0.02	0.02	0.05	0.00	0.00
ENSSSAG00000093324	ENSSSAT00000163502,ENSSSAT00000183088	1.75	0.96	0.89	0.87	1.74	1.09	0.69	0.29	0.30	0.46	0.99	1.19
ENSSSAG00000093325	ENSSSAT00000163637,ENSSSAT00000173959,ENSSSAT00000190912	0.55	0.14	0.23	0.00	0.66	0.00	0.11	0.28	0.00	0.00	0.00	0.00
ENSSSAG00000093326	ENSSSAT00000166351,ENSSSAT00000184490,ENSSSAT00000213630,ENSSSAT00000238739,ENSSSAT00000250481	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093327	ENSSSAT00000244906	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093328	ENSSSAT00000243136	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093329	ENSSSAT00000162852,ENSSSAT00000170001,ENSSSAT00000178538,ENSSSAT00000183709,ENSSSAT00000220710	0.80	0.71	0.27	0.11	0.79	0.49	0.40	0.63	0.43	0.31	0.03	0.77
ENSSSAG00000093330	ENSSSAT00000170743	103.93	122.16	93.50	98.02	111.18	95.65	106.70	110.70	122.73	119.57	72.20	124.73
ENSSSAG00000093331	ENSSSAT00000231832	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093332	ENSSSAT00000166014,ENSSSAT00000181620,ENSSSAT00000196778,ENSSSAT00000206532	7.84	11.57	5.55	2.86	9.57	5.04	4.76	9.64	13.66	12.78	3.78	9.29
ENSSSAG00000093333	ENSSSAT00000184473	0.95	0.69	0.27	0.62	1.31	0.18	0.52	0.36	0.42	3.28	0.63	0.90
ENSSSAG00000093334	ENSSSAT00000243405	0.00	0.00	0.00	0.00	0.00	0.03	0.11	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093335	ENSSSAT00000233338	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093336	ENSSSAT00000228923	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093337	ENSSSAT00000162033,ENSSSAT00000200435,ENSSSAT00000232773	7.68	10.51	4.30	7.00	8.96	9.26	9.87	8.76	11.34	9.64	4.67	7.00
ENSSSAG00000093338	ENSSSAT00000172395	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093339	ENSSSAT00000186477	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093340	ENSSSAT00000206531,ENSSSAT00000220550	4.75	5.08	6.83	5.44	4.19	8.21	7.51	6.14	5.66	5.34	4.31	3.82
ENSSSAG00000093341	ENSSSAT00000230226	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093342	ENSSSAT00000228577	0.76	1.59	1.69	0.31	1.11	0.65	2.23	2.58	1.53	0.83	0.33	1.35
ENSSSAG00000093343	ENSSSAT00000234626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093344	ENSSSAT00000171949,ENSSSAT00000202780	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093345	ENSSSAT00000216846	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093346	ENSSSAT00000226044	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093347	ENSSSAT00000228897	0.59	0.29	0.67	0.17	0.36	1.01	0.76	1.68	2.76	1.41	0.93	1.02
ENSSSAG00000093348	ENSSSAT00000163224,ENSSSAT00000179237	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.03	0.00
ENSSSAG00000093349	ENSSSAT00000177555,ENSSSAT00000232406,ENSSSAT00000237664	0.08	0.15	0.08	0.14	0.19	0.11	0.09	0.08	0.09	0.09	0.06	0.18
ENSSSAG00000093350	ENSSSAT00000250632	24.72	21.02	15.29	8.14	27.28	26.26	31.12	24.96	30.11	37.28	14.80	28.51
ENSSSAG00000093351	ENSSSAT00000183864	0.03	0.04	0.07	0.15	0.07	0.08	0.04	0.01	0.00	0.00	0.14	0.02
ENSSSAG00000093352	ENSSSAT00000087375	0.00	0.00	0.31	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093353	ENSSSAT00000179534,ENSSSAT00000190505,ENSSSAT00000199374,ENSSSAT00000231282,ENSSSAT00000247566,ENSSSAT00000254505	23.81	23.70	19.49	21.14	18.88	25.40	27.31	29.40	22.63	18.12	13.24	18.39
ENSSSAG00000093354	ENSSSAT00000183563,ENSSSAT00000204156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093355	ENSSSAT00000165749	1.63	0.23	1.00	0.25	1.59	0.61	1.46	0.91	0.67	2.84	0.27	1.56
ENSSSAG00000093356	ENSSSAT00000129963,ENSSSAT00000173486,ENSSSAT00000175931,ENSSSAT00000206180	10.40	7.89	9.00	6.25	10.76	7.20	7.94	7.92	11.23	10.05	5.77	12.65
ENSSSAG00000093357	ENSSSAT00000190685,ENSSSAT00000203475,ENSSSAT00000212965	0.00	0.01	0.01	0.00	0.02	0.01	0.02	0.06	0.00	0.01	0.00	0.00
ENSSSAG00000093358	ENSSSAT00000200898	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093359	ENSSSAT00000168944	0.61	0.33	0.39	0.00	0.26	0.17	0.22	0.22	0.82	0.75	1.04	1.11
ENSSSAG00000093360	ENSSSAT00000240887,ENSSSAT00000243829	0.05	0.08	0.00	0.00	0.00	0.00	0.13	0.04	0.15	0.12	0.00	0.25
ENSSSAG00000093361	ENSSSAT00000159638,ENSSSAT00000197874,ENSSSAT00000229525	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
ENSSSAG00000093362	ENSSSAT00000155682	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093363	ENSSSAT00000248077	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093364	ENSSSAT00000191703	0.58	0.37	0.95	0.24	0.29	0.71	0.42	0.56	0.76	0.47	0.50	0.46
ENSSSAG00000093365	ENSSSAT00000167374,ENSSSAT00000228377,ENSSSAT00000239695	0.10	0.00	0.05	0.01	0.06	0.10	0.02	0.04	0.00	0.02	0.03	0.12
ENSSSAG00000093366	ENSSSAT00000159294,ENSSSAT00000181956,ENSSSAT00000202435,ENSSSAT00000235028,ENSSSAT00000241574	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
ENSSSAG00000093367	ENSSSAT00000186620,ENSSSAT00000203558,ENSSSAT00000204051,ENSSSAT00000219719	2.55	1.56	1.55	2.24	2.76	3.38	3.13	4.06	4.26	3.41	1.40	3.76
ENSSSAG00000093368	ENSSSAT00000225496	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093369	ENSSSAT00000183509	0.00	0.00	0.05	0.03	0.07	0.04	0.01	0.00	0.02	0.19	0.11	0.13
ENSSSAG00000093370	ENSSSAT00000247967	0.00	0.00	0.00	0.10	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093371	ENSSSAT00000044038,ENSSSAT00000045737,ENSSSAT00000138806,ENSSSAT00000138860,ENSSSAT00000138863,ENSSSAT00000177165,ENSSSAT00000201650,ENSSSAT00000218102,ENSSSAT00000235403,ENSSSAT00000240836	0.96	0.44	0.49	0.76	1.59	0.48	0.64	0.54	0.86	1.70	0.45	1.67
ENSSSAG00000093372	ENSSSAT00000219679	4.66	4.15	3.60	2.60	2.84	2.03	3.12	2.89	2.76	3.10	1.94	2.99
ENSSSAG00000093373	ENSSSAT00000162867	7.51	8.96	5.11	4.28	8.10	5.29	8.34	7.89	11.62	9.39	3.81	9.64
ENSSSAG00000093374	ENSSSAT00000168629,ENSSSAT00000177613,ENSSSAT00000187041,ENSSSAT00000188827,ENSSSAT00000214559,ENSSSAT00000243587	0.00	0.19	0.00	0.00	0.20	0.00	0.00	0.19	0.00	0.00	0.00	0.00
ENSSSAG00000093375	ENSSSAT00000184802	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093376	ENSSSAT00000221039	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093377	ENSSSAT00000162053	0.00	0.00	0.00	0.00	0.03	0.00	0.02	0.03	0.00	0.03	0.00	0.03
ENSSSAG00000093378	ENSSSAT00000199792,ENSSSAT00000225403,ENSSSAT00000238776	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093379	ENSSSAT00000188339,ENSSSAT00000208643	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093380	ENSSSAT00000036425	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00
ENSSSAG00000093381	ENSSSAT00000186071	12.91	18.41	7.70	8.78	16.37	11.48	12.90	20.27	18.58	19.40	6.75	18.17
ENSSSAG00000093382	ENSSSAT00000180338,ENSSSAT00000192195,ENSSSAT00000196004,ENSSSAT00000202051,ENSSSAT00000203296,ENSSSAT00000208305,ENSSSAT00000226132,ENSSSAT00000250624	3.17	3.94	3.20	3.23	4.68	2.78	4.62	4.31	4.69	5.87	3.27	4.53
ENSSSAG00000093383	ENSSSAT00000220990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093384	ENSSSAT00000224442	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093385	ENSSSAT00000201153	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093386	ENSSSAT00000061880,ENSSSAT00000061915,ENSSSAT00000061946,ENSSSAT00000062038,ENSSSAT00000062097,ENSSSAT00000144331,ENSSSAT00000144377,ENSSSAT00000189608,ENSSSAT00000204518,ENSSSAT00000236069	12.71	15.36	12.03	15.48	15.73	11.13	17.33	17.35	17.70	18.20	13.86	15.64
ENSSSAG00000093387	ENSSSAT00000169261,ENSSSAT00000252111	29.81	33.03	33.09	37.38	33.99	43.75	29.17	29.14	31.43	33.34	22.64	33.33
ENSSSAG00000093388	ENSSSAT00000172625	0.00	1.17	0.00	0.00	1.97	0.00	0.00	0.00	1.85	0.00	0.00	0.00
ENSSSAG00000093389	ENSSSAT00000001458,ENSSSAT00000001521,ENSSSAT00000220741	7.47	7.99	2.89	1.76	5.73	4.47	8.02	4.42	6.12	5.52	3.03	5.35
ENSSSAG00000093390	ENSSSAT00000184269	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093391	ENSSSAT00000228675,ENSSSAT00000240574	6.41	4.75	5.06	4.03	8.49	5.37	6.94	5.39	6.33	5.62	3.55	6.25
ENSSSAG00000093392	ENSSSAT00000157958	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00
ENSSSAG00000093393	ENSSSAT00000235626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093394	ENSSSAT00000186886	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.03
ENSSSAG00000093395	ENSSSAT00000178461	2.69	5.46	7.37	8.68	11.08	7.98	12.98	20.19	12.35	9.78	1.94	16.44
ENSSSAG00000093396	ENSSSAT00000154298,ENSSSAT00000198853	0.10	0.10	1.08	0.26	0.12	0.00	0.00	0.06	0.77	0.00	0.04	0.23
ENSSSAG00000093397	ENSSSAT00000173902,ENSSSAT00000175993,ENSSSAT00000184703,ENSSSAT00000188635,ENSSSAT00000216603,ENSSSAT00000241588	7.60	6.30	9.58	4.66	4.62	5.17	6.33	5.32	6.90	8.62	3.68	8.79
ENSSSAG00000093398	ENSSSAT00000150584	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093399	ENSSSAT00000230371	0.09	0.06	0.00	0.03	0.00	0.03	0.07	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093400	ENSSSAT00000231770	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093401	ENSSSAT00000161728	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093402	ENSSSAT00000226940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093403	ENSSSAT00000166482	6.85	6.09	6.24	8.79	5.32	5.59	6.83	8.44	6.31	10.13	6.15	12.20
ENSSSAG00000093404	ENSSSAT00000168134,ENSSSAT00000171244,ENSSSAT00000197446,ENSSSAT00000222163	0.12	0.23	0.14	0.06	0.12	0.04	0.09	0.04	0.15	0.12	0.08	0.23
ENSSSAG00000093405	ENSSSAT00000243476	6.52	8.14	5.86	7.84	7.47	6.85	7.92	9.22	10.18	8.72	5.01	8.68
ENSSSAG00000093406	ENSSSAT00000187144	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000093407	ENSSSAT00000243769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
