gene_id	transcript_id(s)	AtlanticSalmon_RNA_Gill_Immature_Female_R1	AtlanticSalmon_RNA_Gill_Immature_Female_R2	AtlanticSalmon_RNA_Gill_Immature_Female_R3	AtlanticSalmon_RNA_Gill_Immature_Male_R1	AtlanticSalmon_RNA_Gill_Immature_Male_R2	AtlanticSalmon_RNA_Gill_Immature_Male_R3	AtlanticSalmon_RNA_Gill_Mature_Female_R1	AtlanticSalmon_RNA_Gill_Mature_Female_R2	AtlanticSalmon_RNA_Gill_Mature_Female_R3	AtlanticSalmon_RNA_Gill_Mature_Male_R1	AtlanticSalmon_RNA_Gill_Mature_Male_R2	AtlanticSalmon_RNA_Gill_Mature_Male_R3
ENSSSAG00000002427	ENSSSAT00000006052,ENSSSAT00000006062,ENSSSAT00000168665,ENSSSAT00000183416,ENSSSAT00000224843,ENSSSAT00000235100	0.38	0.14	0.72	1.62	0.83	0.58	1.56	0.15	1.90	0.84	0.10	0.23
ENSSSAG00000002428	ENSSSAT00000005164	0.27	0.15	0.57	0.61	0.75	0.42	0.29	0.70	0.00	0.15	0.87	0.15
ENSSSAG00000002429	ENSSSAT00000005159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002430	ENSSSAT00000005177,ENSSSAT00000005183,ENSSSAT00000005190	140.71	141.78	161.20	117.25	119.81	130.34	125.47	137.72	111.77	156.89	148.10	173.02
ENSSSAG00000002431	ENSSSAT00000005161	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00
ENSSSAG00000002432	ENSSSAT00000005162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.02	0.00	0.00
ENSSSAG00000002433	ENSSSAT00000005169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002434	ENSSSAT00000005166	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.02
ENSSSAG00000002438	ENSSSAT00000005261,ENSSSAT00000005269,ENSSSAT00000005296,ENSSSAT00000005307	27.09	38.75	44.50	43.96	47.02	33.13	56.69	49.23	57.48	58.91	42.01	22.75
ENSSSAG00000002440	ENSSSAT00000006215,ENSSSAT00000006327,ENSSSAT00000006444,ENSSSAT00000006614,ENSSSAT00000006619,ENSSSAT00000006625,ENSSSAT00000006631,ENSSSAT00000006651,ENSSSAT00000006753,ENSSSAT00000006759	29.86	32.01	32.76	27.61	29.66	27.46	33.46	36.51	30.42	34.99	27.76	39.21
ENSSSAG00000002441	ENSSSAT00000005197,ENSSSAT00000005204,ENSSSAT00000015589	12.42	12.45	16.93	19.07	13.96	12.08	14.40	13.18	14.26	13.54	18.19	14.05
ENSSSAG00000002442	ENSSSAT00000005173,ENSSSAT00000005174,ENSSSAT00000180646,ENSSSAT00000207221	0.00	0.10	0.09	0.10	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.05
ENSSSAG00000002443	ENSSSAT00000005191,ENSSSAT00000005209,ENSSSAT00000005245	9.32	12.93	14.26	13.58	20.96	8.62	19.22	12.02	21.95	15.81	11.55	7.28
ENSSSAG00000002445	ENSSSAT00000005212	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSSSAG00000002448	ENSSSAT00000005182	1.69	1.62	1.78	0.89	1.25	1.80	1.47	0.91	2.18	1.13	0.82	1.27
ENSSSAG00000002449	ENSSSAT00000005199	0.00	0.00	0.00	0.23	0.00	0.11	0.33	0.00	0.24	0.00	0.00	0.00
ENSSSAG00000002450	ENSSSAT00000005213,ENSSSAT00000005220,ENSSSAT00000005234,ENSSSAT00000005239,ENSSSAT00000005246,ENSSSAT00000176763,ENSSSAT00000215095,ENSSSAT00000239435,ENSSSAT00000240225,ENSSSAT00000244285	9.14	10.41	10.88	9.02	9.99	10.90	8.39	9.69	11.61	10.15	10.62	8.44
ENSSSAG00000002451	ENSSSAT00000005200,ENSSSAT00000010991,ENSSSAT00000180322	4.55	2.98	2.61	5.09	3.37	4.08	4.15	2.40	3.08	2.74	3.26	2.12
ENSSSAG00000002452	ENSSSAT00000006246,ENSSSAT00000006374,ENSSSAT00000006612,ENSSSAT00000006643,ENSSSAT00000006721,ENSSSAT00000006745,ENSSSAT00000006784,ENSSSAT00000006793,ENSSSAT00000165011,ENSSSAT00000234170	11.57	12.87	13.96	10.51	12.52	10.54	15.19	14.02	15.93	14.93	12.28	24.20
ENSSSAG00000002453	ENSSSAT00000005210,ENSSSAT00000176285	2.65	3.76	2.26	2.61	0.82	2.08	2.40	1.82	5.11	1.98	0.63	1.65
ENSSSAG00000002454	ENSSSAT00000005222,ENSSSAT00000005241,ENSSSAT00000005270	472.82	454.50	484.55	425.14	431.76	457.21	343.64	482.98	343.30	345.15	389.38	475.04
