gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000005312	ENSOMYT00000011678	0.00	0.49	0.00	2.46	2.15	0.85	0.00	0.00	0.48	1.47	0.00	1.13	0.00	0.00	0.47	0.00	0.00	0.00
ENSOMYG00000005313	ENSOMYT00000011683	3.65	5.93	2.82	3.52	6.92	5.35	4.44	4.69	3.73	0.52	1.23	1.21	0.68	0.63	1.02	1.12	1.63	1.11
ENSOMYG00000005314	ENSOMYT00000011690,ENSOMYT00000023256,ENSOMYT00000048268	0.00	0.00	0.13	0.53	1.07	0.64	0.00	0.04	0.00	0.00	0.00	0.00	0.09	0.32	0.05	0.80	0.08	0.04
ENSOMYG00000005315	ENSOMYT00000011773,ENSOMYT00000126937,ENSOMYT00000129308	0.01	0.00	0.00	0.60	1.39	0.84	0.82	0.41	0.37	0.05	0.13	0.09	0.15	0.07	0.40	0.08	0.11	0.11
ENSOMYG00000005316	ENSOMYT00000011828,ENSOMYT00000011885,ENSOMYT00000011916,ENSOMYT00000011937	0.20	0.00	0.00	3.25	2.60	2.05	2.52	1.01	1.04	0.20	0.05	0.23	0.29	0.50	0.10	0.70	0.26	0.08
ENSOMYG00000005318	ENSOMYT00000011691	0.00	0.21	0.10	1.36	0.73	1.56	1.36	1.38	0.29	0.00	0.66	0.00	0.21	0.21	0.00	0.19	0.00	0.18
ENSOMYG00000005319	ENSOMYT00000011682	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.00	0.18	0.00	0.00	0.08	0.00	0.20	0.10	0.00	0.00	0.00
ENSOMYG00000005320	ENSOMYT00000011693,ENSOMYT00000011709	0.75	0.74	1.64	1.59	1.33	1.10	1.89	1.24	1.22	0.94	0.80	0.66	0.52	0.64	0.87	0.66	0.32	0.27
ENSOMYG00000005322	ENSOMYT00000011747,ENSOMYT00000011794	159.41	174.23	178.63	18.75	14.91	14.14	30.66	10.89	12.73	123.26	130.77	125.69	13.76	15.57	11.65	9.45	9.45	6.58
ENSOMYG00000005323	ENSOMYT00000011694	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000005324	ENSOMYT00000011865,ENSOMYT00000011884,ENSOMYT00000011908,ENSOMYT00000011959,ENSOMYT00000011978,ENSOMYT00000123445,ENSOMYT00000126842	21.16	23.90	24.78	25.78	29.08	27.50	28.06	23.66	24.83	15.25	21.92	17.95	19.37	23.98	16.17	18.71	15.03	16.38
ENSOMYG00000005326	ENSOMYT00000029148	0.47	2.18	0.48	16.49	6.93	12.19	8.89	9.29	5.05	2.76	1.00	1.93	1.16	2.52	1.79	1.40	1.62	0.53
ENSOMYG00000005327	ENSOMYT00000011699	0.25	0.30	0.11	2.24	1.23	1.95	3.95	0.81	0.47	0.82	0.60	0.95	0.45	0.31	1.09	0.27	0.37	0.16
ENSOMYG00000005328	ENSOMYT00000011700,ENSOMYT00000121071,ENSOMYT00000133366	32.28	35.41	25.79	17.64	15.83	13.64	14.13	15.67	14.58	32.86	29.11	32.58	12.55	16.13	14.23	18.72	11.68	11.22
ENSOMYG00000005329	ENSOMYT00000011701	79.71	89.65	72.43	18.39	14.21	12.16	11.91	10.99	10.68	37.92	30.55	27.84	7.13	9.49	6.09	8.64	6.38	7.13
ENSOMYG00000005330	ENSOMYT00000011715,ENSOMYT00000011727,ENSOMYT00000011730	380.56	359.91	325.05	54.94	61.91	49.73	37.66	45.04	50.13	239.48	239.25	191.33	30.57	40.47	47.57	36.12	15.99	29.83
ENSOMYG00000005331	ENSOMYT00000011706,ENSOMYT00000144377	0.00	0.00	0.00	0.31	0.77	0.55	0.29	0.24	0.31	0.00	0.00	0.00	0.00	0.00	0.11	0.26	0.06	0.03
ENSOMYG00000005332	ENSOMYT00000011707	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.96	0.28	2.55	0.00	0.71	0.36	0.00	0.33	0.67
ENSOMYG00000005333	ENSOMYT00000011716	3.16	1.97	4.11	1.47	0.43	0.85	0.57	0.46	1.44	0.49	1.84	0.75	0.00	0.00	0.47	0.00	0.88	0.00
ENSOMYG00000005334	ENSOMYT00000011711	0.00	0.00	0.00	0.13	0.00	0.06	0.14	0.11	0.00	0.14	0.05	0.16	0.20	0.07	0.34	0.00	0.30	0.39
ENSOMYG00000005337	ENSOMYT00000011719	2.09	0.00	0.00	3.21	2.26	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.30	0.00	0.00
