gene_id	transcript_id(s)	RainbowTrout_RNA_Gonad_Immature_Female_R1	RainbowTrout_RNA_Gonad_Immature_Female_R2	RainbowTrout_RNA_Gonad_Immature_Female_R3	RainbowTrout_RNA_Gonad_Immature_Male_R1	RainbowTrout_RNA_Gonad_Immature_Male_R2	RainbowTrout_RNA_Gonad_Immature_Male_R3	RainbowTrout_RNA_Gonad_Immature_Male_R4	RainbowTrout_RNA_Gonad_Immature_Male_R5	RainbowTrout_RNA_Gonad_Immature_Male_R6	RainbowTrout_RNA_Gonad_Mature_Female_R1	RainbowTrout_RNA_Gonad_Mature_Female_R2	RainbowTrout_RNA_Gonad_Mature_Female_R3	RainbowTrout_RNA_Gonad_Mature_Male_R1	RainbowTrout_RNA_Gonad_Mature_Male_R2	RainbowTrout_RNA_Gonad_Mature_Male_R3	RainbowTrout_RNA_Gonad_Mature_Male_R4	RainbowTrout_RNA_Gonad_Mature_Male_R5	RainbowTrout_RNA_Gonad_Mature_Male_R6
ENSOMYG00000055403	ENSOMYT00000152649	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055404	ENSOMYT00000129082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055405	ENSOMYT00000134197	0.00	0.00	0.00	0.00	0.06	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.07	0.03
ENSOMYG00000055406	ENSOMYT00000163934	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.15
ENSOMYG00000055407	ENSOMYT00000134398	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055408	ENSOMYT00000167803	3.88	3.27	1.40	1.75	3.05	1.99	3.62	3.53	3.82	1.19	0.84	0.77	0.47	0.89	1.22	0.85	0.32	0.10
ENSOMYG00000055409	ENSOMYT00000129765	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055410	ENSOMYT00000138369	12.98	9.58	9.02	2.90	3.22	3.69	4.48	2.87	2.56	8.06	8.15	6.61	6.81	5.13	4.71	4.54	6.15	5.28
ENSOMYG00000055411	ENSOMYT00000015415,ENSOMYT00000015429	0.04	0.00	0.16	0.49	0.53	1.04	0.99	0.78	0.38	0.03	0.18	0.16	1.36	1.89	1.45	1.08	0.62	1.02
ENSOMYG00000055412	ENSOMYT00000151155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055413	ENSOMYT00000126322	0.00	0.00	0.18	0.85	0.10	1.47	0.29	0.08	0.24	0.00	0.07	0.00	0.09	0.00	0.18	0.62	0.16	0.41
ENSOMYG00000055414	ENSOMYT00000130274	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055415	ENSOMYT00000116160	0.12	0.23	0.06	2.83	3.36	4.49	1.40	2.08	3.42	0.00	0.14	0.00	7.60	6.42	5.64	5.99	7.12	5.51
ENSOMYG00000055416	ENSOMYT00000146022	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055417	ENSOMYT00000121797	0.00	0.00	0.00	0.21	0.27	0.25	0.14	0.08	0.08	0.05	0.00	0.07	0.13	0.18	0.09	0.16	0.12	0.04
ENSOMYG00000055418	ENSOMYT00000145209	0.00	0.00	0.00	3.85	0.00	0.00	0.00	2.13	0.00	0.00	0.00	0.00	59.64	100.23	99.34	30.87	144.40	48.91
ENSOMYG00000055419	ENSOMYT00000133791	0.04	0.00	0.02	0.47	0.02	0.43	0.35	0.00	0.00	0.02	0.02	0.00	0.00	0.00	0.00	0.05	0.06	0.00
ENSOMYG00000055420	ENSOMYT00000103800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055421	ENSOMYT00000122958	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055422	ENSOMYT00000132579	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055423	ENSOMYT00000159943	0.10	0.23	0.22	0.18	1.34	0.51	1.83	0.12	0.12	0.14	0.36	1.03	0.27	0.65	0.19	0.29	0.20	0.54
ENSOMYG00000055424	ENSOMYT00000145532	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055425	ENSOMYT00000142039	0.00	0.00	0.00	0.00	0.11	0.05	0.06	0.00	0.04	0.00	0.00	0.00	0.00	0.07	0.00	0.05	0.00	0.00
ENSOMYG00000055426	ENSOMYT00000116780	3.17	2.29	3.56	6.47	35.45	6.66	11.57	4.09	10.15	10.87	14.20	24.49	3.08	9.06	10.49	3.35	1.68	2.69
ENSOMYG00000055427	ENSOMYT00000144883	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055428	ENSOMYT00000154182	0.00	0.23	0.00	0.23	1.54	1.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.22	0.00	0.00
ENSOMYG00000055429	ENSOMYT00000132711	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055430	ENSOMYT00000120683	0.06	0.26	0.08	14.02	13.98	12.07	9.23	7.43	6.94	0.33	0.21	0.23	9.69	6.79	8.10	7.23	3.35	7.64
ENSOMYG00000055431	ENSOMYT00000145944	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055432	ENSOMYT00000143039	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055433	ENSOMYT00000120250	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055434	ENSOMYT00000149122	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055435	ENSOMYT00000129990,ENSOMYT00000134853,ENSOMYT00000157206	37.46	46.74	31.79	12.87	16.78	14.56	11.32	15.10	16.63	38.47	34.54	41.83	11.48	11.10	12.27	13.96	7.35	12.64
ENSOMYG00000055436	ENSOMYT00000163651	0.00	0.22	0.00	0.00	0.00	0.48	0.12	0.10	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055437	ENSOMYT00000129974	0.00	0.00	0.06	0.00	0.00	0.00	0.06	0.00	0.00	0.06	0.09	0.00	0.06	0.00	0.00	0.00	0.22	0.00
ENSOMYG00000055438	ENSOMYT00000161979	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055439	ENSOMYT00000117654	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055440	ENSOMYT00000157588	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055441	ENSOMYT00000153166,ENSOMYT00000159168	0.30	0.23	0.38	0.06	0.06	0.00	0.00	0.04	0.02	0.21	0.00	0.06	0.58	0.60	0.64	0.13	0.98	0.57
ENSOMYG00000055442	ENSOMYT00000154686	0.00	0.00	0.00	0.13	0.00	0.24	0.27	0.11	0.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055443	ENSOMYT00000121192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055444	ENSOMYT00000141011,ENSOMYT00000143091	922.50	995.77	936.38	1.44	7.78	5.47	2.23	2.43	1.48	940.23	813.20	587.57	1.46	12.60	3.97	2.71	0.67	3.57
ENSOMYG00000055445	ENSOMYT00000163947	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00
ENSOMYG00000055446	ENSOMYT00000163307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055447	ENSOMYT00000117174	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055448	ENSOMYT00000136059	0.00	0.00	0.00	1.70	1.04	1.97	0.60	0.00	0.30	0.00	0.00	0.00	0.37	1.13	3.72	6.40	0.81	0.58
ENSOMYG00000055449	ENSOMYT00000147965	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055450	ENSOMYT00000043279,ENSOMYT00000151614,ENSOMYT00000162782	11.39	13.84	10.56	9.07	14.85	15.64	14.98	13.11	13.05	6.35	4.36	4.83	25.22	44.35	22.46	19.40	38.41	22.99
ENSOMYG00000055451	ENSOMYT00000167676	0.00	0.00	0.09	0.00	0.10	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.19	0.00	0.09	0.00	0.04	0.00
ENSOMYG00000055452	ENSOMYT00000147690,ENSOMYT00000163398,ENSOMYT00000167183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.04	0.00
ENSOMYG00000055453	ENSOMYT00000155251	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055454	ENSOMYT00000149456	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055455	ENSOMYT00000151356	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055456	ENSOMYT00000147626	0.00	0.00	0.00	0.22	1.66	0.00	0.00	0.33	0.01	0.00	0.00	0.05	0.00	0.00	0.00	21.40	0.00	0.10
ENSOMYG00000055457	ENSOMYT00000149183	1.12	0.46	0.54	0.90	0.93	1.20	1.00	1.00	1.35	1.08	1.30	1.01	19.94	44.19	14.35	9.61	29.54	17.02
ENSOMYG00000055458	ENSOMYT00000155047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055459	ENSOMYT00000131679	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055460	ENSOMYT00000121904	3.56	10.03	3.58	19.62	18.63	14.37	11.61	17.65	19.96	3.53	2.68	2.85	8.23	13.00	10.30	15.03	14.51	11.51
ENSOMYG00000055461	ENSOMYT00000122708	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055462	ENSOMYT00000032802	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055463	ENSOMYT00000130756	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055464	ENSOMYT00000167482	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055465	ENSOMYT00000121642	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055466	ENSOMYT00000142721	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055467	ENSOMYT00000143024	0.00	0.00	0.00	0.38	0.88	1.18	0.00	0.89	0.69	0.00	0.00	0.00	0.00	0.26	0.26	0.81	0.00	0.11
ENSOMYG00000055468	ENSOMYT00000150319	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055469	ENSOMYT00000153149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055470	ENSOMYT00000116328	0.00	0.00	0.45	0.00	0.00	0.00	4.12	0.00	0.00	0.00	0.18	0.18	0.23	0.00	0.00	0.00	0.00	0.41
ENSOMYG00000055471	ENSOMYT00000068415	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07	0.17
ENSOMYG00000055472	ENSOMYT00000154605	0.00	0.19	0.27	0.34	0.34	0.09	0.00	0.12	0.10	0.00	0.00	0.01	0.07	0.17	0.00	0.09	0.15	0.13
ENSOMYG00000055473	ENSOMYT00000147623	65.32	57.39	55.61	8.96	16.48	12.90	21.33	16.31	13.85	46.28	48.71	37.59	17.11	14.36	10.64	9.98	8.06	10.84
ENSOMYG00000055474	ENSOMYT00000153017	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055475	ENSOMYT00000163675	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055476	ENSOMYT00000096103,ENSOMYT00000096105,ENSOMYT00000117101	1.68	1.05	1.94	0.00	0.00	0.00	0.61	0.00	0.00	2.08	2.34	4.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055477	ENSOMYT00000144952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055478	ENSOMYT00000133557	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055479	ENSOMYT00000155593	6.26	9.61	8.70	4.82	6.94	5.81	2.20	3.82	4.84	2.61	3.59	3.64	3.82	4.58	4.95	4.11	3.52	4.69
ENSOMYG00000055480	ENSOMYT00000120203,ENSOMYT00000120916,ENSOMYT00000121539,ENSOMYT00000127096,ENSOMYT00000128618,ENSOMYT00000133199,ENSOMYT00000148779,ENSOMYT00000151258,ENSOMYT00000159873,ENSOMYT00000166613	21.20	23.35	28.14	15.11	26.54	20.67	18.55	30.62	35.27	20.11	16.70	14.61	30.91	40.94	27.88	28.09	26.19	27.87
ENSOMYG00000055481	ENSOMYT00000146111	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055482	ENSOMYT00000108205	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055483	ENSOMYT00000045497	0.12	0.11	0.45	1.25	1.93	2.97	1.48	4.10	2.25	0.35	0.18	0.09	0.69	0.92	1.98	1.14	1.24	1.53
ENSOMYG00000055484	ENSOMYT00000134365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055485	ENSOMYT00000126492	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055486	ENSOMYT00000122196	0.00	0.02	0.02	0.11	0.30	0.30	0.00	0.02	0.09	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.02	0.02
ENSOMYG00000055487	ENSOMYT00000123492	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055488	ENSOMYT00000135282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055489	ENSOMYT00000117451,ENSOMYT00000125593,ENSOMYT00000165676	58.64	55.90	49.58	5.38	6.61	3.78	7.97	3.39	2.18	22.24	13.97	23.64	2.77	3.07	1.08	1.45	0.51	1.08
ENSOMYG00000055490	ENSOMYT00000119162,ENSOMYT00000133504	1.40	0.74	0.96	0.49	1.37	1.07	1.33	0.43	0.51	0.00	0.44	0.00	0.25	0.30	0.21	0.22	0.11	0.00
ENSOMYG00000055491	ENSOMYT00000153763	0.00	0.00	0.00	0.00	0.00	0.20	0.08	0.00	0.19	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00
ENSOMYG00000055492	ENSOMYT00000156504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055493	ENSOMYT00000152084	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055494	ENSOMYT00000152430	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055495	ENSOMYT00000153911	0.00	0.00	0.04	0.04	0.00	0.00	0.55	0.00	0.20	0.00	0.00	0.03	0.04	0.04	0.00	0.13	0.00	0.00
ENSOMYG00000055496	ENSOMYT00000123435	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055497	ENSOMYT00000087594,ENSOMYT00000087821,ENSOMYT00000124122	190.39	177.79	215.80	3.50	6.38	4.72	9.76	1.98	1.32	414.73	309.12	350.07	8.01	20.67	3.23	5.59	21.05	1.67
ENSOMYG00000055498	ENSOMYT00000139413	1.16	0.88	2.49	0.19	0.19	0.36	0.72	0.34	0.09	0.81	2.30	1.02	0.10	0.69	0.00	0.00	0.00	0.33
ENSOMYG00000055499	ENSOMYT00000149388	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055500	ENSOMYT00000148524	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055501	ENSOMYT00000072587	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055502	ENSOMYT00000148097	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055503	ENSOMYT00000133844	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055504	ENSOMYT00000143507	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055505	ENSOMYT00000035369	0.00	0.00	0.00	0.00	0.34	0.00	0.12	0.00	0.00	0.00	0.00	0.32	0.69	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055506	ENSOMYT00000119305	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055507	ENSOMYT00000124964	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055508	ENSOMYT00000126728	0.00	0.09	0.00	0.09	0.37	0.61	0.10	0.00	0.00	0.00	0.00	0.00	0.09	0.09	0.10	0.08	0.17	0.08
ENSOMYG00000055509	ENSOMYT00000167551	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055510	ENSOMYT00000141373	0.00	0.23	0.11	0.14	0.11	0.95	0.00	0.10	0.10	0.00	0.00	0.00	0.17	0.00	0.23	0.00	0.00	0.10
ENSOMYG00000055511	ENSOMYT00000138327	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055512	ENSOMYT00000126014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055513	ENSOMYT00000149359	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055514	ENSOMYT00000118998	0.14	0.69	0.22	4.29	1.00	1.29	3.14	1.95	5.34	10.83	8.08	7.59	0.70	1.49	0.98	4.49	0.35	1.11
ENSOMYG00000055515	ENSOMYT00000149190,ENSOMYT00000159109,ENSOMYT00000167459	0.45	0.20	1.05	16.18	26.98	25.25	11.37	18.99	18.14	0.86	0.70	0.91	10.56	4.33	6.39	10.11	3.97	10.84
ENSOMYG00000055516	ENSOMYT00000127469	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055517	ENSOMYT00000125033,ENSOMYT00000137055,ENSOMYT00000147509,ENSOMYT00000155325,ENSOMYT00000156101	0.04	0.08	0.08	0.80	2.08	1.06	0.78	0.35	0.00	2.53	1.04	0.11	0.00	0.10	1.25	0.68	0.24	0.06
ENSOMYG00000055518	ENSOMYT00000163200	41.95	46.15	66.88	175.76	131.52	124.05	96.13	126.41	145.54	106.87	105.76	112.31	241.32	258.38	361.39	285.37	421.36	267.19
ENSOMYG00000055519	ENSOMYT00000160357	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055520	ENSOMYT00000124777	0.00	0.00	0.00	0.00	0.06	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
ENSOMYG00000055521	ENSOMYT00000166407	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055522	ENSOMYT00000161454	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055523	ENSOMYT00000143132	8.16	7.04	5.32	1.86	1.25	1.39	3.37	3.62	4.33	7.87	8.64	6.84	4.49	6.32	3.91	4.07	4.20	3.64
ENSOMYG00000055524	ENSOMYT00000151047	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055525	ENSOMYT00000166115	0.91	0.23	0.00	0.15	0.46	0.50	0.00	0.00	0.00	0.00	0.00	0.06	0.08	0.00	0.00	0.07	3.52	0.91
ENSOMYG00000055526	ENSOMYT00000163358	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055527	ENSOMYT00000136572	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055528	ENSOMYT00000140258	0.00	0.00	0.00	0.10	0.05	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.04	0.08
ENSOMYG00000055529	ENSOMYT00000115944,ENSOMYT00000138421,ENSOMYT00000156710,ENSOMYT00000163565	2.93	1.29	2.10	1.75	2.71	2.59	5.96	3.05	1.85	2.59	2.54	2.25	3.94	1.70	0.82	1.79	1.20	2.08
ENSOMYG00000055530	ENSOMYT00000154968	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.05	0.00	0.00	0.00
ENSOMYG00000055531	ENSOMYT00000123871	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055532	ENSOMYT00000148774	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055533	ENSOMYT00000121786	55.04	51.87	50.64	44.11	45.69	39.95	30.13	36.05	31.81	46.70	45.29	34.22	26.35	23.56	25.86	34.06	16.49	26.51
ENSOMYG00000055534	ENSOMYT00000148517	0.00	0.23	0.00	0.58	0.00	0.32	0.62	0.20	0.10	0.12	0.00	0.09	0.12	0.12	0.00	0.31	0.28	0.30
ENSOMYG00000055535	ENSOMYT00000000562	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055536	ENSOMYT00000136185	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055537	ENSOMYT00000144660	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000055538	ENSOMYT00000151683	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
