gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000069898	ENSOMYT00000145901	0.00	0.00	0.00	0.00	0.00	0.14	0.24	0.26	0.38	0.00	0.00	0.00
ENSOMYG00000069899	ENSOMYT00000163920	0.14	0.36	0.00	0.15	0.00	0.15	0.00	0.11	0.04	0.18	0.07	0.13
ENSOMYG00000069900	ENSOMYT00000166692	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069901	ENSOMYT00000132935	13.47	13.94	39.72	17.12	18.48	24.24	52.79	30.75	35.17	49.80	21.10	44.42
ENSOMYG00000069902	ENSOMYT00000065038	0.64	0.21	0.25	0.84	0.00	0.32	0.42	0.61	0.80	1.34	0.00	0.40
ENSOMYG00000069903	ENSOMYT00000137392,ENSOMYT00000145780,ENSOMYT00000165898	26.29	20.73	24.77	15.95	15.22	16.85	17.52	17.02	13.28	11.59	12.62	17.83
ENSOMYG00000069904	ENSOMYT00000124655	0.69	0.63	0.20	0.64	0.00	0.32	0.14	0.14	0.37	0.06	0.00	0.19
ENSOMYG00000069905	ENSOMYT00000145630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069906	ENSOMYT00000128630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069907	ENSOMYT00000128189	0.00	0.00	0.00	0.15	0.00	0.47	0.00	0.20	0.00	0.00	0.00	0.00
ENSOMYG00000069908	ENSOMYT00000137386	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069909	ENSOMYT00000129484	0.14	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.03	0.07	0.25	0.00
ENSOMYG00000069910	ENSOMYT00000123854	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069911	ENSOMYT00000160004	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00
ENSOMYG00000069912	ENSOMYT00000018859,ENSOMYT00000018895,ENSOMYT00000159222	7.87	5.22	4.37	3.34	7.34	5.01	4.29	8.20	4.40	4.29	3.90	9.03
ENSOMYG00000069913	ENSOMYT00000159410,ENSOMYT00000159423	114.32	74.47	59.18	72.27	75.44	72.31	70.95	96.97	63.86	50.91	84.15	29.22
ENSOMYG00000069914	ENSOMYT00000132812	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069915	ENSOMYT00000158108	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069916	ENSOMYT00000136233	0.08	0.00	0.08	0.00	0.17	0.00	0.00	0.03	0.00	0.07	0.00	0.08
ENSOMYG00000069917	ENSOMYT00000165934	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069918	ENSOMYT00000152137	0.31	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.14
ENSOMYG00000069919	ENSOMYT00000138138	0.00	0.38	0.24	0.48	0.36	0.00	0.44	0.93	0.00	0.00	0.67	2.22
ENSOMYG00000069920	ENSOMYT00000148230	0.00	0.00	0.00	0.00	0.00	0.16	0.13	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069921	ENSOMYT00000124787	13.80	21.12	13.72	4.49	6.47	2.22	1.95	3.39	5.40	4.70	0.60	2.31
ENSOMYG00000069922	ENSOMYT00000126701	0.00	0.36	0.36	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34
ENSOMYG00000069923	ENSOMYT00000157136	1.20	0.86	0.56	0.28	0.06	0.20	0.59	1.89	1.10	0.76	0.78	1.10
ENSOMYG00000069924	ENSOMYT00000122768	0.00	0.00	0.08	0.00	0.04	0.04	0.00	0.03	0.00	0.04	0.08	0.08
ENSOMYG00000069925	ENSOMYT00000118243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069926	ENSOMYT00000164940	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069927	ENSOMYT00000137368	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069928	ENSOMYT00000147522	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069929	ENSOMYT00000158282	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069930	ENSOMYT00000124815	6.73	8.23	7.63	9.54	7.50	8.23	0.91	3.05	4.43	2.21	1.32	7.93
ENSOMYG00000069931	ENSOMYT00000122816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069932	ENSOMYT00000130759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069933	ENSOMYT00000128110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069934	ENSOMYT00000148252	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069935	ENSOMYT00000156339	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069936	ENSOMYT00000057520,ENSOMYT00000077670	0.48	0.00	0.36	0.00	0.36	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069937	ENSOMYT00000140407	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.17
ENSOMYG00000069938	ENSOMYT00000134797,ENSOMYT00000151668	14.06	23.72	13.55	12.43	18.63	20.61	15.99	15.93	16.24	13.74	15.96	14.00
ENSOMYG00000069939	ENSOMYT00000117034,ENSOMYT00000145306,ENSOMYT00000167388	24.84	35.18	24.46	23.24	33.43	51.42	26.21	25.64	24.98	12.40	19.41	29.77
ENSOMYG00000069940	ENSOMYT00000147027	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.21
ENSOMYG00000069941	ENSOMYT00000119521	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.17	0.00
ENSOMYG00000069942	ENSOMYT00000126887,ENSOMYT00000159058	2.21	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.37	0.00	0.00	0.00
ENSOMYG00000069943	ENSOMYT00000114420,ENSOMYT00000116534,ENSOMYT00000135636,ENSOMYT00000152447,ENSOMYT00000152872	21.05	20.44	32.23	32.02	26.17	22.31	22.52	11.64	10.16	12.44	21.44	11.58
ENSOMYG00000069944	ENSOMYT00000132169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069945	ENSOMYT00000116086,ENSOMYT00000131970,ENSOMYT00000143932,ENSOMYT00000154369,ENSOMYT00000160904	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069946	ENSOMYT00000116035,ENSOMYT00000147258,ENSOMYT00000158648	31.14	23.09	39.99	32.03	30.26	22.52	21.51	16.30	18.54	25.76	24.56	22.81
ENSOMYG00000069947	ENSOMYT00000155334	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069948	ENSOMYT00000139928	0.34	0.00	0.17	0.00	0.05	0.33	0.04	0.08	0.18	0.00	0.10	0.19
ENSOMYG00000069949	ENSOMYT00000158312,ENSOMYT00000165032	5.10	6.76	9.04	6.14	6.37	6.26	5.53	5.79	4.31	6.57	9.27	6.75
ENSOMYG00000069950	ENSOMYT00000157787	0.06	0.17	0.18	0.00	0.18	0.06	0.07	0.76	0.06	0.05	0.06	0.00
ENSOMYG00000069951	ENSOMYT00000125221	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069952	ENSOMYT00000120324	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069953	ENSOMYT00000158239	0.00	0.54	0.13	0.00	0.00	0.00	0.22	0.00	0.17	0.00	0.00	0.25
ENSOMYG00000069954	ENSOMYT00000153619	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069955	ENSOMYT00000160819	4.92	6.76	1.78	3.08	4.10	2.86	0.85	1.23	0.21	3.34	0.53	1.63
ENSOMYG00000069956	ENSOMYT00000142454,ENSOMYT00000161519	75.17	52.48	37.33	42.50	50.90	41.08	29.55	66.55	50.62	18.43	20.39	84.11
ENSOMYG00000069957	ENSOMYT00000141085	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069958	ENSOMYT00000157948	0.00	0.00	0.00	0.72	0.18	0.00	0.00	0.00	0.17	0.00	0.08	0.00
ENSOMYG00000069959	ENSOMYT00000162850	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069960	ENSOMYT00000134408	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069961	ENSOMYT00000120123	0.00	0.05	0.00	0.12	0.05	0.05	0.00	0.00	0.25	0.04	0.00	0.00
ENSOMYG00000069962	ENSOMYT00000123112,ENSOMYT00000136963,ENSOMYT00000145714,ENSOMYT00000163525,ENSOMYT00000167486	3.99	6.72	10.40	4.44	5.47	5.01	4.12	5.45	7.02	7.05	11.61	5.90
ENSOMYG00000069963	ENSOMYT00000122922	5.99	5.68	2.74	5.09	6.10	4.57	1.30	3.60	2.65	0.49	0.07	6.55
ENSOMYG00000069964	ENSOMYT00000152558	7.74	10.34	8.68	10.55	9.70	5.46	7.43	5.70	6.79	12.02	8.62	5.58
ENSOMYG00000069965	ENSOMYT00000166365	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069966	ENSOMYT00000141580	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069967	ENSOMYT00000142824	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069968	ENSOMYT00000125739	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069969	ENSOMYT00000140219	0.00	0.36	0.00	0.87	0.00	0.16	0.28	0.00	0.00	0.14	0.00	0.83
ENSOMYG00000069970	ENSOMYT00000141952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069971	ENSOMYT00000152296	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00
ENSOMYG00000069972	ENSOMYT00000155732	4.08	1.88	3.44	1.01	0.78	1.76	3.85	1.93	2.51	2.26	1.53	6.26
ENSOMYG00000069973	ENSOMYT00000021929,ENSOMYT00000138190,ENSOMYT00000149961,ENSOMYT00000164387	13.94	12.97	13.83	13.43	17.31	12.85	1.92	7.41	5.62	1.47	1.68	14.02
ENSOMYG00000069974	ENSOMYT00000144279	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069975	ENSOMYT00000152072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069976	ENSOMYT00000154340	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069977	ENSOMYT00000137719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069978	ENSOMYT00000137350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069979	ENSOMYT00000158868	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069980	ENSOMYT00000157810	0.02	0.00	0.00	0.02	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.03
ENSOMYG00000069981	ENSOMYT00000117131	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069982	ENSOMYT00000148559	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069983	ENSOMYT00000149653	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069984	ENSOMYT00000147394	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069985	ENSOMYT00000144814,ENSOMYT00000146052,ENSOMYT00000148188,ENSOMYT00000148870	19.45	18.72	10.36	15.40	18.94	20.56	13.27	23.75	13.42	14.04	13.05	11.32
ENSOMYG00000069986	ENSOMYT00000138281	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.46	0.00	0.34	0.00
ENSOMYG00000069987	ENSOMYT00000008573	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069988	ENSOMYT00000127694	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00
ENSOMYG00000069989	ENSOMYT00000166574	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069990	ENSOMYT00000131591	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069991	ENSOMYT00000155021	8.67	6.13	6.82	8.94	4.73	2.65	0.42	2.17	1.92	4.05	3.65	4.58
ENSOMYG00000069992	ENSOMYT00000157086	0.00	0.00	0.32	0.65	0.00	0.00	0.00	0.00	0.55	0.15	0.61	0.34
ENSOMYG00000069993	ENSOMYT00000119185	0.11	0.06	0.38	0.07	0.27	0.00	0.04	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069994	ENSOMYT00000020178	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069995	ENSOMYT00000134635	0.00	0.89	0.35	0.22	0.00	0.17	0.00	0.58	0.22	0.29	0.00	0.17
ENSOMYG00000069996	ENSOMYT00000116832,ENSOMYT00000121614,ENSOMYT00000145296	13.09	14.35	12.32	10.96	12.44	13.36	2.68	6.91	8.02	2.10	3.24	13.31
ENSOMYG00000069997	ENSOMYT00000121428	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069998	ENSOMYT00000157443	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000069999	ENSOMYT00000088433	1.16	1.45	1.74	1.79	0.87	1.08	0.70	2.59	1.65	1.65	2.26	0.28
ENSOMYG00000070000	ENSOMYT00000030468	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
ENSOMYG00000070001	ENSOMYT00000116893,ENSOMYT00000135017	60.33	63.54	74.17	61.22	66.29	41.61	49.31	45.33	40.83	33.36	28.31	38.44
ENSOMYG00000070002	ENSOMYT00000139639	0.00	0.00	0.11	0.00	0.11	0.00	0.09	0.00	0.14	0.09	0.00	0.11
ENSOMYG00000070003	ENSOMYT00000157363	0.18	0.36	0.00	0.32	0.16	0.32	0.00	0.00	0.00	0.13	0.05	0.00
ENSOMYG00000070004	ENSOMYT00000123888,ENSOMYT00000129832	1.01	1.97	1.44	2.54	3.31	2.52	0.03	0.17	0.16	0.05	0.00	1.74
ENSOMYG00000070005	ENSOMYT00000157798	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070006	ENSOMYT00000161607	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070007	ENSOMYT00000145924	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070008	ENSOMYT00000138755	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070009	ENSOMYT00000119739	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070010	ENSOMYT00000017706	0.87	0.00	1.10	0.15	0.00	1.03	0.39	0.00	0.46	0.00	0.00	0.46
ENSOMYG00000070011	ENSOMYT00000117360	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070012	ENSOMYT00000121837,ENSOMYT00000143877	0.00	0.00	0.08	0.00	0.00	0.00	0.07	0.00	0.00	0.26	0.00	0.07
ENSOMYG00000070013	ENSOMYT00000167148	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070014	ENSOMYT00000131192,ENSOMYT00000138437,ENSOMYT00000143782,ENSOMYT00000155627	29.06	22.58	15.34	28.30	25.12	24.89	20.98	22.60	20.73	26.78	23.83	21.98
ENSOMYG00000070015	ENSOMYT00000124822	0.17	0.51	0.17	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070016	ENSOMYT00000151257	0.16	0.00	0.48	0.00	0.16	0.15	0.00	0.13	0.00	0.00	0.00	0.00
ENSOMYG00000070017	ENSOMYT00000140373	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070018	ENSOMYT00000120336	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070019	ENSOMYT00000122093	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070020	ENSOMYT00000015171	0.77	3.37	3.38	1.01	2.31	2.14	5.49	2.28	3.89	1.88	1.11	4.97
ENSOMYG00000070021	ENSOMYT00000167861	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070022	ENSOMYT00000012144	0.83	0.55	0.95	0.84	0.27	0.64	0.77	0.44	0.77	0.34	0.26	0.52
ENSOMYG00000070023	ENSOMYT00000132959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070024	ENSOMYT00000119951	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070025	ENSOMYT00000156892	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070026	ENSOMYT00000131959	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070027	ENSOMYT00000142960	0.99	0.78	0.64	2.35	0.90	1.02	0.24	0.52	1.19	0.46	0.59	1.08
ENSOMYG00000070028	ENSOMYT00000133381	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070029	ENSOMYT00000164921	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070030	ENSOMYT00000142652	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070031	ENSOMYT00000158125	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070032	ENSOMYT00000150855	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070033	ENSOMYT00000148645	5.33	13.99	6.31	11.29	13.62	18.97	12.11	11.57	7.89	5.62	5.69	6.53
ENSOMYG00000070034	ENSOMYT00000164957	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070035	ENSOMYT00000116003	0.00	0.10	0.00	0.36	0.10	0.00	0.00	0.23	0.04	0.00	0.07	0.09
ENSOMYG00000070036	ENSOMYT00000124087	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070037	ENSOMYT00000125525	3.57	2.37	2.81	1.67	2.93	1.18	1.48	1.90	1.28	1.77	0.84	2.20
ENSOMYG00000070038	ENSOMYT00000126188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070039	ENSOMYT00000137861	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070040	ENSOMYT00000120487	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070041	ENSOMYT00000126290	0.26	0.31	0.13	0.47	0.14	0.11	0.14	0.14	0.05	0.08	0.08	0.28
ENSOMYG00000070042	ENSOMYT00000167722	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070043	ENSOMYT00000134200,ENSOMYT00000144133,ENSOMYT00000154694	3.16	4.55	1.96	3.99	2.11	5.31	3.75	4.94	1.64	5.39	2.07	4.48
ENSOMYG00000070044	ENSOMYT00000129699,ENSOMYT00000137164,ENSOMYT00000140312,ENSOMYT00000145879,ENSOMYT00000146808,ENSOMYT00000149762,ENSOMYT00000150109,ENSOMYT00000151184,ENSOMYT00000154699,ENSOMYT00000160481	35.60	32.61	31.73	28.52	36.85	37.85	34.15	34.20	25.75	36.28	36.84	41.31
ENSOMYG00000070045	ENSOMYT00000150179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070046	ENSOMYT00000153608	0.00	0.00	0.18	0.00	0.00	0.69	0.07	0.00	0.00	0.00	0.09	0.51
ENSOMYG00000070047	ENSOMYT00000125712	0.71	0.69	0.81	0.81	1.17	0.72	2.16	1.13	0.89	1.21	1.56	0.84
ENSOMYG00000070048	ENSOMYT00000135542	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070049	ENSOMYT00000161729	0.36	0.72	0.00	0.00	0.45	0.00	0.00	0.14	0.22	0.44	0.75	0.51
ENSOMYG00000070050	ENSOMYT00000167409	0.64	0.00	0.13	0.16	0.13	0.12	0.00	1.65	0.79	0.31	0.12	0.60
ENSOMYG00000070051	ENSOMYT00000147245	2.72	2.62	2.59	2.93	2.17	2.94	2.90	4.74	3.60	2.63	2.54	2.71
ENSOMYG00000070052	ENSOMYT00000122943	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070053	ENSOMYT00000164123	0.22	0.06	0.21	0.25	0.26	0.10	0.00	0.04	0.00	0.05	0.00	0.11
ENSOMYG00000070054	ENSOMYT00000131434	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070055	ENSOMYT00000119439,ENSOMYT00000134535,ENSOMYT00000155448,ENSOMYT00000161623	14.33	10.26	18.00	11.03	12.34	11.55	3.96	10.91	5.42	2.47	5.31	22.80
ENSOMYG00000070056	ENSOMYT00000150433	0.00	2.46	1.49	1.72	2.36	6.50	0.95	0.00	0.00	1.79	0.63	1.55
ENSOMYG00000070057	ENSOMYT00000148306	0.09	0.00	0.00	0.00	0.45	0.20	0.00	0.00	0.00	0.15	0.09	0.00
ENSOMYG00000070058	ENSOMYT00000144848	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070059	ENSOMYT00000154453	3.86	4.02	2.83	4.25	3.95	4.53	4.02	5.20	3.83	3.56	3.12	3.60
ENSOMYG00000070060	ENSOMYT00000142882	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.68	0.27	0.67	0.00	0.40
ENSOMYG00000070061	ENSOMYT00000148018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070062	ENSOMYT00000146408	0.00	0.00	0.00	0.10	0.16	0.00	0.00	0.00	0.05	0.00	0.53	0.08
ENSOMYG00000070063	ENSOMYT00000165759	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070064	ENSOMYT00000124691	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070065	ENSOMYT00000163722	0.00	0.19	0.28	0.12	0.00	0.00	0.00	0.00	0.18	0.08	0.09	0.09
ENSOMYG00000070066	ENSOMYT00000124834	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070067	ENSOMYT00000156605	0.08	0.31	0.36	0.14	0.23	0.00	0.40	0.33	0.64	0.00	0.17	0.10
ENSOMYG00000070068	ENSOMYT00000124271	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070069	ENSOMYT00000138731	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070070	ENSOMYT00000153651	0.35	0.05	0.05	0.31	0.00	0.42	0.63	0.44	1.27	0.21	0.26	1.43
ENSOMYG00000070071	ENSOMYT00000146970	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070072	ENSOMYT00000120951	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070073	ENSOMYT00000167595	0.00	1.76	0.00	0.00	1.77	1.11	0.00	0.00	0.00	0.47	1.79	1.73
ENSOMYG00000070074	ENSOMYT00000127920	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000070075	ENSOMYT00000160326	0.56	0.09	0.70	0.00	0.63	0.16	0.00	0.00	0.11	0.29	0.00	0.08
ENSOMYG00000070076	ENSOMYT00000122959	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.30	0.00	0.00
ENSOMYG00000070077	ENSOMYT00000129053	0.00	0.18	0.59	0.52	0.51	0.14	0.17	0.59	0.23	0.00	0.22	0.35
