gene_id	transcript_id(s)	RainbowTrout_RNA_Brain_Immature_Female_R1	RainbowTrout_RNA_Brain_Immature_Female_R2	RainbowTrout_RNA_Brain_Immature_Female_R3	RainbowTrout_RNA_Brain_Immature_Male_R1	RainbowTrout_RNA_Brain_Immature_Male_R2	RainbowTrout_RNA_Brain_Immature_Male_R3	RainbowTrout_RNA_Brain_Mature_Female_R1	RainbowTrout_RNA_Brain_Mature_Female_R2	RainbowTrout_RNA_Brain_Mature_Female_R3	RainbowTrout_RNA_Brain_Mature_Male_R1	RainbowTrout_RNA_Brain_Mature_Male_R2	RainbowTrout_RNA_Brain_Mature_Male_R3
ENSOMYG00000026721	ENSOMYT00000063413,ENSOMYT00000063468,ENSOMYT00000063512,ENSOMYT00000063548,ENSOMYT00000081877	8.82	13.83	5.25	13.20	13.78	13.29	5.89	10.74	8.92	4.31	3.73	9.37
ENSOMYG00000026722	ENSOMYT00000063018,ENSOMYT00000063041	1.58	3.52	7.94	5.35	5.98	4.18	6.60	4.85	4.78	2.86	6.72	12.23
ENSOMYG00000026723	ENSOMYT00000063004	1.93	2.84	1.35	3.21	1.36	2.86	0.14	1.25	0.28	0.07	0.00	1.11
ENSOMYG00000026724	ENSOMYT00000063025	0.13	0.00	0.39	0.32	0.13	0.00	0.31	0.11	0.08	0.00	0.00	0.00
ENSOMYG00000026725	ENSOMYT00000063014	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026727	ENSOMYT00000063898,ENSOMYT00000063943,ENSOMYT00000063950,ENSOMYT00000063981,ENSOMYT00000064057,ENSOMYT00000064182,ENSOMYT00000064277	5.22	6.52	6.41	6.09	6.44	6.70	4.55	5.46	5.25	2.38	1.91	5.69
ENSOMYG00000026730	ENSOMYT00000063040	10.08	9.93	13.03	6.07	8.05	8.57	7.54	6.52	7.43	9.99	11.92	8.21
ENSOMYG00000026732	ENSOMYT00000063061	0.00	0.00	0.28	0.00	0.00	0.00	0.45	0.00	0.09	0.23	0.14	0.67
ENSOMYG00000026734	ENSOMYT00000063066	4.19	0.10	3.53	0.82	2.11	0.00	2.68	0.31	6.16	2.37	4.85	1.26
ENSOMYG00000026735	ENSOMYT00000063060	0.50	0.50	0.87	0.15	0.25	0.12	0.10	0.20	0.16	0.92	1.31	0.12
ENSOMYG00000026737	ENSOMYT00000063226,ENSOMYT00000063273,ENSOMYT00000136722	15.70	22.84	17.85	19.37	24.22	25.76	21.98	27.19	20.21	20.48	27.68	21.02
ENSOMYG00000026738	ENSOMYT00000069363,ENSOMYT00000069516,ENSOMYT00000069568	112.02	127.19	91.81	75.89	79.07	76.27	83.40	87.54	84.40	77.47	75.24	62.88
ENSOMYG00000026741	ENSOMYT00000063078	2.16	3.02	3.67	3.05	2.80	2.87	1.91	2.75	1.56	2.63	3.42	2.06
ENSOMYG00000026742	ENSOMYT00000063155,ENSOMYT00000063169,ENSOMYT00000116997,ENSOMYT00000159091	25.49	35.39	23.48	41.60	30.62	36.72	22.06	28.71	31.07	23.94	33.69	24.36
ENSOMYG00000026743	ENSOMYT00000093139	0.00	0.39	0.00	0.32	0.64	0.48	0.00	0.31	0.24	0.00	0.12	0.00
ENSOMYG00000026747	ENSOMYT00000063098	11.04	7.48	8.52	3.54	4.17	4.19	0.74	2.16	2.68	0.10	0.77	4.69
ENSOMYG00000026749	ENSOMYT00000063123,ENSOMYT00000063134	10.41	5.35	9.71	8.94	7.31	9.89	11.49	9.34	9.75	11.92	11.70	9.91
ENSOMYG00000026750	ENSOMYT00000063095	5.84	6.60	13.43	3.44	2.75	7.72	17.53	10.60	31.29	10.49	12.81	18.57
ENSOMYG00000026751	ENSOMYT00000063092	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026752	ENSOMYT00000063091	0.36	0.00	0.00	0.46	0.00	0.00	0.00	0.30	0.23	0.00	0.00	0.00
ENSOMYG00000026755	ENSOMYT00000063109	8.61	15.12	5.45	14.37	20.91	15.38	10.70	16.23	11.84	33.99	45.66	22.80
ENSOMYG00000026756	ENSOMYT00000063112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000026757	ENSOMYT00000063110	0.00	0.00	0.08	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.07
ENSOMYG00000026761	ENSOMYT00000063130,ENSOMYT00000063140	30.21	19.46	32.22	17.18	14.01	16.07	18.36	9.33	12.54	38.38	35.08	21.34
