gene_id	transcript_id(s)	RainbowTrout_RNA_Gill_Immature_Female_R1	RainbowTrout_RNA_Gill_Immature_Female_R2	RainbowTrout_RNA_Gill_Immature_Female_R3	RainbowTrout_RNA_Gill_Immature_Male_R1	RainbowTrout_RNA_Gill_Immature_Male_R2	RainbowTrout_RNA_Gill_Immature_Male_R3	RainbowTrout_RNA_Gill_Mature_Female_R1	RainbowTrout_RNA_Gill_Mature_Female_R2	RainbowTrout_RNA_Gill_Mature_Female_R3	RainbowTrout_RNA_Gill_Mature_Male_R1	RainbowTrout_RNA_Gill_Mature_Male_R2	RainbowTrout_RNA_Gill_Mature_Male_R3
ENSOMYG00000017791	ENSOMYT00000041821	1.74	0.46	2.26	1.59	5.04	0.22	0.00	0.57	0.18	0.00	0.00	0.00
ENSOMYG00000017792	ENSOMYT00000041816	1.09	7.01	8.45	6.41	2.40	2.47	14.01	6.26	6.44	6.22	5.50	6.35
ENSOMYG00000017793	ENSOMYT00000041813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017794	ENSOMYT00000041817,ENSOMYT00000143551	0.51	0.18	0.30	1.02	2.77	3.56	0.95	2.01	2.05	1.79	1.07	1.76
ENSOMYG00000017795	ENSOMYT00000041846	0.00	0.00	0.02	0.00	0.00	0.08	0.00	0.00	0.02	0.00	0.03	0.00
ENSOMYG00000017796	ENSOMYT00000041958,ENSOMYT00000041974	1.88	1.28	0.34	0.35	1.72	0.38	0.00	1.06	0.40	0.30	0.90	3.20
ENSOMYG00000017797	ENSOMYT00000041843	8.70	10.76	10.21	3.61	4.48	3.68	26.02	6.20	11.31	10.06	7.25	6.16
ENSOMYG00000017800	ENSOMYT00000025303,ENSOMYT00000041408,ENSOMYT00000043853,ENSOMYT00000043919,ENSOMYT00000044047,ENSOMYT00000044445,ENSOMYT00000044455,ENSOMYT00000130518,ENSOMYT00000140410	70.31	48.85	43.59	43.43	37.28	35.63	43.78	58.51	41.41	40.83	49.91	82.25
ENSOMYG00000017801	ENSOMYT00000041831,ENSOMYT00000041848	14.52	18.20	20.10	18.91	16.74	16.07	13.92	12.69	15.07	14.75	20.43	19.64
ENSOMYG00000017802	ENSOMYT00000041840	9.57	9.65	11.54	10.79	10.43	7.91	15.25	5.89	7.78	7.10	7.97	15.93
ENSOMYG00000017803	ENSOMYT00000041847	0.00	0.00	0.07	0.03	0.00	0.23	8.11	0.23	0.00	0.00	0.00	0.08
ENSOMYG00000017804	ENSOMYT00000041850	0.00	0.00	0.00	5.94	0.00	0.87	0.00	0.00	0.00	0.94	0.00	0.00
ENSOMYG00000017805	ENSOMYT00000041851	4.83	3.23	3.61	4.72	3.37	2.56	6.36	3.32	2.29	2.62	1.86	0.69
ENSOMYG00000017806	ENSOMYT00000041852,ENSOMYT00000041866,ENSOMYT00000127346	0.00	0.00	0.75	0.59	0.20	0.00	0.00	0.00	0.17	0.18	0.22	0.22
ENSOMYG00000017807	ENSOMYT00000041855	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00
ENSOMYG00000017808	ENSOMYT00000041917,ENSOMYT00000041935,ENSOMYT00000041948,ENSOMYT00000042011,ENSOMYT00000042135	14.49	13.00	13.93	11.98	10.30	12.60	14.65	15.79	11.39	14.76	11.78	12.77
ENSOMYG00000017809	ENSOMYT00000041862,ENSOMYT00000138583,ENSOMYT00000151284	0.00	0.00	0.00	0.00	0.04	0.00	0.24	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017810	ENSOMYT00000041865,ENSOMYT00000155564	5.36	6.83	5.33	3.41	4.47	3.62	5.77	3.94	3.93	5.07	2.67	4.86
ENSOMYG00000017811	ENSOMYT00000041962	30.70	27.21	29.43	32.80	34.07	30.65	54.32	27.97	23.31	30.38	27.63	30.08
ENSOMYG00000017812	ENSOMYT00000041421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017813	ENSOMYT00000041899	35.95	56.37	38.06	26.41	33.21	32.03	21.36	46.85	45.33	28.98	20.14	29.34
ENSOMYG00000017814	ENSOMYT00000041872	0.28	0.34	0.00	0.37	0.23	1.39	0.18	0.14	0.18	0.43	0.45	0.23
ENSOMYG00000017816	ENSOMYT00000041875	0.34	0.19	0.31	0.08	0.04	0.35	0.25	0.38	0.10	0.00	0.09	0.18
ENSOMYG00000017817	ENSOMYT00000041888	2.23	2.21	1.04	1.12	2.08	2.10	30.68	1.16	1.52	0.99	0.16	0.86
ENSOMYG00000017818	ENSOMYT00000041881	9.83	8.15	10.14	9.49	9.32	10.50	17.03	10.71	9.29	8.14	7.97	10.11
ENSOMYG00000017819	ENSOMYT00000041928,ENSOMYT00000041947	0.52	0.69	0.52	0.58	0.43	0.29	1.36	0.61	0.09	0.45	0.83	0.31
ENSOMYG00000017820	ENSOMYT00000041904,ENSOMYT00000041921	24.37	33.49	26.22	24.07	23.56	29.92	46.28	23.40	22.07	26.26	26.09	22.62
ENSOMYG00000017821	ENSOMYT00000041879	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.03	0.00
ENSOMYG00000017822	ENSOMYT00000041880	0.00	0.19	0.00	0.00	0.00	0.04	0.00	0.12	0.00	0.13	0.00	0.00
ENSOMYG00000017824	ENSOMYT00000042208,ENSOMYT00000042501,ENSOMYT00000042537,ENSOMYT00000042561,ENSOMYT00000042822,ENSOMYT00000042833	6.06	4.55	2.41	2.00	3.05	2.49	1.54	5.52	4.73	3.55	2.98	4.39
ENSOMYG00000017827	ENSOMYT00000041900	14.17	16.83	18.74	18.63	17.38	16.52	18.75	13.14	14.00	15.99	16.96	18.22
ENSOMYG00000017828	ENSOMYT00000041896	12.64	10.72	6.35	6.57	5.91	4.91	20.59	7.22	13.47	7.71	7.94	5.39
ENSOMYG00000017829	ENSOMYT00000041941,ENSOMYT00000041951	8.02	7.05	8.45	8.57	6.78	7.37	9.18	4.29	6.23	9.63	7.87	7.11
ENSOMYG00000017830	ENSOMYT00000041905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017832	ENSOMYT00000041987	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000017833	ENSOMYT00000041910	0.35	0.15	0.43	0.44	0.16	0.66	0.00	0.22	0.02	0.11	0.09	0.12
ENSOMYG00000017838	ENSOMYT00000041913,ENSOMYT00000120875,ENSOMYT00000128939,ENSOMYT00000132009,ENSOMYT00000147391,ENSOMYT00000152636,ENSOMYT00000159252,ENSOMYT00000165603,ENSOMYT00000166718,ENSOMYT00000166778	3.49	3.74	2.24	2.39	2.75	4.86	0.76	1.83	3.17	2.25	2.07	4.31
