gene_id	transcript_id(s)	RainbowTrout_RNA_HeadKidney_Immature_Female_R1	RainbowTrout_RNA_HeadKidney_Immature_Female_R2	RainbowTrout_RNA_HeadKidney_Immature_Female_R3	RainbowTrout_RNA_HeadKidney_Immature_Male_R1	RainbowTrout_RNA_HeadKidney_Immature_Male_R2	RainbowTrout_RNA_HeadKidney_Immature_Male_R3	RainbowTrout_RNA_HeadKidney_Mature_Female_R1	RainbowTrout_RNA_HeadKidney_Mature_Female_R2	RainbowTrout_RNA_HeadKidney_Mature_Female_R3	RainbowTrout_RNA_HeadKidney_Mature_Male_R1	RainbowTrout_RNA_HeadKidney_Mature_Male_R2	RainbowTrout_RNA_HeadKidney_Mature_Male_R3
ENSOMYG00000057958	ENSOMYT00000119119	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057959	ENSOMYT00000137666	8.05	6.11	8.62	4.70	4.22	3.02	4.43	6.39	9.77	6.52	4.70	4.14
ENSOMYG00000057960	ENSOMYT00000152664	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057961	ENSOMYT00000167149	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057962	ENSOMYT00000164114	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057963	ENSOMYT00000145898	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.03	0.02	0.00	0.00
ENSOMYG00000057964	ENSOMYT00000162655	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057965	ENSOMYT00000151135	0.00	0.03	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057966	ENSOMYT00000160392	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057967	ENSOMYT00000162255	0.23	0.05	0.00	0.05	0.18	0.00	0.00	0.18	0.04	0.00	0.08	0.18
ENSOMYG00000057968	ENSOMYT00000142497	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057969	ENSOMYT00000116341,ENSOMYT00000158417,ENSOMYT00000164480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057970	ENSOMYT00000129884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057971	ENSOMYT00000116932,ENSOMYT00000120384,ENSOMYT00000123026,ENSOMYT00000125382,ENSOMYT00000127322,ENSOMYT00000134988,ENSOMYT00000142301,ENSOMYT00000151640	0.45	0.00	0.17	0.56	0.08	0.00	0.18	0.64	0.71	0.00	0.00	0.00
ENSOMYG00000057972	ENSOMYT00000150017	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057973	ENSOMYT00000147031	0.00	0.05	0.02	0.04	0.00	0.00	0.02	0.05	0.00	0.00	0.00	0.05
ENSOMYG00000057974	ENSOMYT00000158292	0.31	0.00	0.00	0.07	0.21	0.00	0.00	0.07	0.00	0.00	0.00	0.00
ENSOMYG00000057975	ENSOMYT00000162509	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057976	ENSOMYT00000127252,ENSOMYT00000161298	11.55	21.51	6.78	7.42	13.49	12.12	1.96	0.43	20.92	9.57	0.78	21.25
ENSOMYG00000057977	ENSOMYT00000144698	0.27	0.42	0.39	0.08	0.76	0.30	0.04	0.04	0.19	0.30	0.04	0.00
ENSOMYG00000057978	ENSOMYT00000118139,ENSOMYT00000136251,ENSOMYT00000152622,ENSOMYT00000158339	13.65	14.05	2.11	2.61	10.79	15.72	7.10	11.21	17.70	7.70	5.46	11.13
ENSOMYG00000057979	ENSOMYT00000147502	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000057980	ENSOMYT00000167235	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
