gene_id	transcript_id(s)	RainbowTrout_RNA_DistalIntestine_Immature_Female_R1	RainbowTrout_RNA_DistalIntestine_Immature_Female_R2	RainbowTrout_RNA_DistalIntestine_Immature_Female_R3	RainbowTrout_RNA_DistalIntestine_Immature_Male_R1	RainbowTrout_RNA_DistalIntestine_Immature_Male_R2	RainbowTrout_RNA_DistalIntestine_Immature_Male_R3	RainbowTrout_RNA_DistalIntestine_Mature_Female_R1	RainbowTrout_RNA_DistalIntestine_Mature_Female_R2	RainbowTrout_RNA_DistalIntestine_Mature_Female_R3	RainbowTrout_RNA_DistalIntestine_Mature_Male_R1	RainbowTrout_RNA_DistalIntestine_Mature_Male_R2	RainbowTrout_RNA_DistalIntestine_Mature_Male_R3
ENSOMYG00000053771	ENSOMYT00000156038	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053772	ENSOMYT00000121414	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053773	ENSOMYT00000133858	1.79	0.78	1.17	0.95	1.26	0.70	1.72	0.47	1.36	0.84	0.43	1.40
ENSOMYG00000053774	ENSOMYT00000145933	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053775	ENSOMYT00000120327,ENSOMYT00000165370	4.78	8.19	1.99	11.28	0.00	2.74	0.70	1.01	0.00	0.00	2.62	1.49
ENSOMYG00000053776	ENSOMYT00000138202	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053777	ENSOMYT00000154479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053778	ENSOMYT00000123281	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053779	ENSOMYT00000134494	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053780	ENSOMYT00000158718	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.04	0.00	0.00
ENSOMYG00000053781	ENSOMYT00000118903	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053782	ENSOMYT00000158610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053783	ENSOMYT00000164974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053784	ENSOMYT00000162952	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053785	ENSOMYT00000127095	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053786	ENSOMYT00000120388,ENSOMYT00000153577	1.33	1.28	0.73	0.28	0.58	1.00	0.70	0.94	1.65	0.55	0.51	1.44
ENSOMYG00000053787	ENSOMYT00000166889	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053788	ENSOMYT00000130398	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053789	ENSOMYT00000143973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053790	ENSOMYT00000041971	4.03	3.76	3.73	1.32	2.29	4.42	4.07	1.90	3.34	3.80	4.17	1.33
ENSOMYG00000053791	ENSOMYT00000084687	6.46	6.24	2.56	7.28	4.99	8.64	6.04	6.13	4.85	8.71	6.26	12.84
ENSOMYG00000053792	ENSOMYT00000027085	0.00	0.00	7.65	0.00	0.00	19.17	2.61	84.37	1.60	177.60	26.26	29.35
ENSOMYG00000053793	ENSOMYT00000141686	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053794	ENSOMYT00000053273,ENSOMYT00000165488	0.08	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053795	ENSOMYT00000147793	0.02	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.02	0.16
ENSOMYG00000053796	ENSOMYT00000167617	1.16	0.00	0.00	0.60	0.00	0.43	0.00	0.14	0.00	0.00	0.19	0.44
ENSOMYG00000053797	ENSOMYT00000133167	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053798	ENSOMYT00000149188	0.15	0.16	0.09	0.00	0.00	0.20	0.03	0.00	0.00	0.10	0.00	0.13
ENSOMYG00000053799	ENSOMYT00000149363	0.00	0.00	0.24	0.06	0.29	0.11	0.06	0.00	0.12	0.00	0.07	0.00
ENSOMYG00000053800	ENSOMYT00000151154	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053801	ENSOMYT00000115754	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053802	ENSOMYT00000125817	0.06	0.00	0.00	0.04	0.05	0.00	0.04	0.00	0.14	0.09	0.11	0.13
ENSOMYG00000053803	ENSOMYT00000140369	6.19	44.01	16.01	19.42	2.87	29.90	10.63	4.58	5.82	47.85	57.34	64.51
ENSOMYG00000053804	ENSOMYT00000120133	0.14	0.10	0.00	0.09	0.00	0.00	0.17	0.10	0.19	0.00	0.00	0.13
ENSOMYG00000053805	ENSOMYT00000152507	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053806	ENSOMYT00000135297	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053807	ENSOMYT00000126180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053808	ENSOMYT00000163091	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053809	ENSOMYT00000149426	0.05	0.00	0.00	0.00	0.31	0.09	0.63	0.00	0.73	0.59	0.00	0.58
ENSOMYG00000053810	ENSOMYT00000120255	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053811	ENSOMYT00000139800	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053812	ENSOMYT00000125849	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053813	ENSOMYT00000139129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053814	ENSOMYT00000152352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053815	ENSOMYT00000116855,ENSOMYT00000141959,ENSOMYT00000143917,ENSOMYT00000148026	18.46	21.03	16.47	19.07	17.21	15.37	17.39	22.47	16.82	16.49	16.03	14.42
ENSOMYG00000053816	ENSOMYT00000137172,ENSOMYT00000155804	0.84	0.46	0.25	0.07	0.58	0.37	0.41	0.45	0.77	0.40	0.84	0.41
ENSOMYG00000053817	ENSOMYT00000141248	0.32	0.05	0.00	0.00	0.00	0.09	0.04	0.00	0.00	0.05	0.81	0.27
ENSOMYG00000053818	ENSOMYT00000155932	0.11	0.28	0.07	0.04	0.00	0.00	0.00	0.09	0.00	0.00	0.05	0.00
ENSOMYG00000053819	ENSOMYT00000130857	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053820	ENSOMYT00000140352	0.00	0.05	0.05	0.00	0.11	0.09	0.42	0.50	0.49	0.10	0.00	0.00
ENSOMYG00000053821	ENSOMYT00000151553	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053822	ENSOMYT00000018253	0.98	0.00	0.85	0.12	0.00	0.06	0.19	0.28	0.40	0.42	0.08	4.61
ENSOMYG00000053823	ENSOMYT00000160952	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053824	ENSOMYT00000123789	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03
ENSOMYG00000053825	ENSOMYT00000148724	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053826	ENSOMYT00000132578	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053827	ENSOMYT00000146880	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053828	ENSOMYT00000135517	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053829	ENSOMYT00000153525	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053830	ENSOMYT00000146474	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053831	ENSOMYT00000135790	0.00	0.00	0.00	0.00	0.06	0.05	0.00	0.00	0.00	0.06	0.00	0.00
ENSOMYG00000053832	ENSOMYT00000091745,ENSOMYT00000160677	4.08	0.80	0.38	0.80	1.28	0.40	0.85	0.80	0.47	1.19	0.92	4.89
ENSOMYG00000053833	ENSOMYT00000127247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053834	ENSOMYT00000158769	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053835	ENSOMYT00000140921	0.09	0.15	0.00	0.00	0.14	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053836	ENSOMYT00000131647,ENSOMYT00000141738	0.47	0.00	0.00	0.19	0.00	0.13	0.07	0.00	0.14	0.00	0.00	0.13
ENSOMYG00000053837	ENSOMYT00000163742	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.10	0.00	0.54	0.00	0.44
ENSOMYG00000053838	ENSOMYT00000133742,ENSOMYT00000134457,ENSOMYT00000142903,ENSOMYT00000144369,ENSOMYT00000144473,ENSOMYT00000166072	0.30	0.03	0.08	0.22	0.07	0.02	0.19	0.00	0.43	0.25	0.06	0.00
ENSOMYG00000053839	ENSOMYT00000115877	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053840	ENSOMYT00000135205	0.60	0.16	0.00	0.00	0.06	0.00	0.14	0.25	0.39	0.10	0.00	0.21
ENSOMYG00000053841	ENSOMYT00000120791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053842	ENSOMYT00000141821,ENSOMYT00000164173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00
ENSOMYG00000053843	ENSOMYT00000163249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053844	ENSOMYT00000137294	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053845	ENSOMYT00000139646	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053846	ENSOMYT00000167529	0.13	0.00	0.00	0.00	0.00	0.00	0.04	0.06	0.00	0.07	0.00	0.00
ENSOMYG00000053847	ENSOMYT00000161645	2.27	0.42	0.79	0.25	0.97	0.24	2.98	1.47	1.75	1.10	1.09	3.17
ENSOMYG00000053848	ENSOMYT00000154804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053849	ENSOMYT00000124080,ENSOMYT00000141145,ENSOMYT00000165486	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.09	0.00	0.00
ENSOMYG00000053850	ENSOMYT00000139303	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053851	ENSOMYT00000037254	0.00	0.07	0.00	0.00	0.53	0.00	0.00	0.00	0.04	0.06	0.05	0.00
ENSOMYG00000053852	ENSOMYT00000160344	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053853	ENSOMYT00000121205	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053854	ENSOMYT00000165038	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.08	0.36	0.64
ENSOMYG00000053855	ENSOMYT00000160953,ENSOMYT00000161509	0.12	0.10	0.13	0.00	0.05	0.00	0.13	0.02	0.12	0.10	0.07	0.03
ENSOMYG00000053856	ENSOMYT00000126520	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00
ENSOMYG00000053857	ENSOMYT00000142665	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053858	ENSOMYT00000133174	0.00	0.40	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.06	0.06	0.00
ENSOMYG00000053859	ENSOMYT00000144439	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053860	ENSOMYT00000131842	0.00	0.00	0.00	0.00	0.04	0.08	0.00	0.00	0.00	0.00	0.04	0.00
ENSOMYG00000053861	ENSOMYT00000134416	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053862	ENSOMYT00000137056	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053863	ENSOMYT00000117134	0.25	1.15	0.28	0.29	0.14	0.93	0.26	0.10	0.04	1.22	1.23	1.75
ENSOMYG00000053864	ENSOMYT00000120764	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053865	ENSOMYT00000089839,ENSOMYT00000128101,ENSOMYT00000137197,ENSOMYT00000137538	0.40	1.79	0.00	6.94	0.59	3.29	0.32	0.80	0.35	3.77	2.78	0.00
ENSOMYG00000053866	ENSOMYT00000127248	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053867	ENSOMYT00000136741	0.12	0.03	0.03	0.00	0.08	0.14	0.00	0.00	0.03	0.00	0.00	0.06
ENSOMYG00000053868	ENSOMYT00000137492	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.03	0.00	0.00	0.04
ENSOMYG00000053869	ENSOMYT00000151932	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.00	0.04	0.05	0.00	0.07
ENSOMYG00000053870	ENSOMYT00000153401	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053871	ENSOMYT00000130778	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053872	ENSOMYT00000142516	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053873	ENSOMYT00000140415	0.02	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
ENSOMYG00000053874	ENSOMYT00000131974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053875	ENSOMYT00000135340,ENSOMYT00000137665	4.10	1.82	4.59	0.00	1.89	3.34	1.32	3.31	3.20	1.39	6.09	9.17
ENSOMYG00000053876	ENSOMYT00000162570	0.00	0.04	0.56	0.13	0.49	0.48	0.24	0.17	0.27	0.14	0.32	0.00
ENSOMYG00000053877	ENSOMYT00000120860	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053878	ENSOMYT00000123433	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053879	ENSOMYT00000116747	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053880	ENSOMYT00000159000	0.04	0.00	0.00	0.03	0.00	0.07	0.04	0.06	0.10	0.00	0.04	0.05
ENSOMYG00000053881	ENSOMYT00000125680	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00
ENSOMYG00000053882	ENSOMYT00000147167	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053883	ENSOMYT00000131804	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053884	ENSOMYT00000122075	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053885	ENSOMYT00000161305	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053886	ENSOMYT00000153681	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053887	ENSOMYT00000141549	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053888	ENSOMYT00000141239	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053889	ENSOMYT00000129585	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.13	0.00	0.26
ENSOMYG00000053890	ENSOMYT00000141947	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053891	ENSOMYT00000129568	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053892	ENSOMYT00000165625	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053893	ENSOMYT00000146161	14.15	16.51	13.86	13.51	14.82	14.08	10.73	9.80	10.06	11.21	13.79	17.92
ENSOMYG00000053894	ENSOMYT00000153832	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053895	ENSOMYT00000164318	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053896	ENSOMYT00000163036	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053897	ENSOMYT00000148570	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053898	ENSOMYT00000150173	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053899	ENSOMYT00000161010	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053900	ENSOMYT00000136596	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053901	ENSOMYT00000163972	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053902	ENSOMYT00000147762	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053903	ENSOMYT00000136782	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053904	ENSOMYT00000128972	4.07	2.93	2.09	2.23	5.15	2.68	1.03	0.00	2.02	5.14	2.64	6.55
ENSOMYG00000053905	ENSOMYT00000125435,ENSOMYT00000125742,ENSOMYT00000139155,ENSOMYT00000144388,ENSOMYT00000151131,ENSOMYT00000157843,ENSOMYT00000159544,ENSOMYT00000163095	16.58	18.85	14.28	14.53	10.84	10.92	10.13	10.56	11.40	15.24	16.91	31.22
ENSOMYG00000053906	ENSOMYT00000127031	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053907	ENSOMYT00000119558	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.16	0.06	0.07	0.00	0.17
ENSOMYG00000053908	ENSOMYT00000129626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053909	ENSOMYT00000125507	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053910	ENSOMYT00000165593	0.18	0.00	0.00	0.00	0.09	0.07	0.00	0.06	0.00	0.00	0.00	0.00
ENSOMYG00000053911	ENSOMYT00000156350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053912	ENSOMYT00000012767	0.19	0.06	0.09	0.20	0.16	0.05	0.08	0.00	0.00	0.23	0.00	0.19
ENSOMYG00000053913	ENSOMYT00000140059	0.00	0.45	0.41	0.13	0.17	0.26	0.85	0.18	0.78	0.37	0.33	1.19
ENSOMYG00000053914	ENSOMYT00000140345	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053915	ENSOMYT00000119810	0.14	0.00	0.00	0.00	0.17	0.04	0.00	0.00	0.00	0.00	0.00	0.07
ENSOMYG00000053916	ENSOMYT00000125082	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053917	ENSOMYT00000119178,ENSOMYT00000137844	3.75	0.27	0.00	0.00	0.16	0.18	0.95	1.64	0.92	1.56	0.61	4.78
ENSOMYG00000053918	ENSOMYT00000116192,ENSOMYT00000136511,ENSOMYT00000142320,ENSOMYT00000150053,ENSOMYT00000157964	11.66	17.36	18.99	18.10	10.41	17.09	14.40	9.92	14.99	10.15	5.66	13.18
ENSOMYG00000053919	ENSOMYT00000135264	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053920	ENSOMYT00000153694	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053921	ENSOMYT00000148767	9.72	2.04	3.36	1.92	11.78	1.34	5.43	4.23	6.11	3.29	3.61	5.95
ENSOMYG00000053922	ENSOMYT00000161635	0.12	0.61	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.94
ENSOMYG00000053923	ENSOMYT00000117328	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053924	ENSOMYT00000090918	0.74	0.00	1.32	1.31	3.48	2.70	0.00	1.75	3.39	6.24	5.20	2.61
ENSOMYG00000053925	ENSOMYT00000147296	0.76	0.00	0.30	0.00	0.96	0.23	1.38	1.25	0.81	0.32	0.22	0.52
ENSOMYG00000053926	ENSOMYT00000133050	0.00	0.00	0.04	0.00	0.00	0.00	0.03	0.06	0.03	0.02	0.00	0.05
ENSOMYG00000053927	ENSOMYT00000149624	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053928	ENSOMYT00000122357	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053929	ENSOMYT00000163467	0.03	0.08	0.02	0.04	0.12	0.00	0.02	0.04	0.00	0.15	0.11	0.03
ENSOMYG00000053930	ENSOMYT00000123734	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053931	ENSOMYT00000139348	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053932	ENSOMYT00000134621	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
ENSOMYG00000053933	ENSOMYT00000157490	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053934	ENSOMYT00000164905	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053935	ENSOMYT00000148811	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053936	ENSOMYT00000122310	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
ENSOMYG00000053937	ENSOMYT00000155427	0.22	3.88	4.65	3.31	0.62	2.24	0.97	0.47	0.87	1.73	0.21	1.92
ENSOMYG00000053938	ENSOMYT00000126121	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053939	ENSOMYT00000164268	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053940	ENSOMYT00000116549	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053941	ENSOMYT00000145019	0.57	0.65	0.76	0.62	0.68	0.42	1.55	0.15	1.30	0.82	0.18	0.30
ENSOMYG00000053942	ENSOMYT00000146493	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053943	ENSOMYT00000130925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053944	ENSOMYT00000118138	4.17	2.41	2.34	4.49	4.65	2.67	7.72	4.87	1.44	3.14	5.40	7.91
ENSOMYG00000053945	ENSOMYT00000136564	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053946	ENSOMYT00000159613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053947	ENSOMYT00000143924	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053948	ENSOMYT00000143480	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.18	0.00	0.00	0.08
ENSOMYG00000053949	ENSOMYT00000136895	0.03	0.00	0.04	0.00	0.00	0.07	0.02	0.06	0.02	0.04	0.03	0.16
ENSOMYG00000053950	ENSOMYT00000116072	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053951	ENSOMYT00000150616	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00
ENSOMYG00000053952	ENSOMYT00000152307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOMYG00000053953	ENSOMYT00000130973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
